"","Year","Species","ESU","releases","biomass","source","index"
"1",1994,"Sockeye","Baker River Sockeye",53867,15082.76,"RMIS_10.29.24_https://www.rmpc.org/","1994 Sockeye Baker River Sockeye"
"2",1996,"Sockeye","Baker River Sockeye",12000,2040,"RMIS_10.29.24_https://www.rmpc.org/","1996 Sockeye Baker River Sockeye"
"3",1997,"Sockeye","Baker River Sockeye",2042035,409970.77,"RMIS_10.29.24_https://www.rmpc.org/","1997 Sockeye Baker River Sockeye"
"4",1998,"Sockeye","Baker River Sockeye",1211624,193859.84,"RMIS_10.29.24_https://www.rmpc.org/","1998 Sockeye Baker River Sockeye"
"5",1999,"Sockeye","Baker River Sockeye",52689,10537.8,"RMIS_10.29.24_https://www.rmpc.org/","1999 Sockeye Baker River Sockeye"
"6",2002,"Sockeye","Baker River Sockeye",52202,10936.47,"RMIS_10.29.24_https://www.rmpc.org/","2002 Sockeye Baker River Sockeye"
"7",2003,"Sockeye","Baker River Sockeye",1131296,191418.8,"RMIS_10.29.24_https://www.rmpc.org/","2003 Sockeye Baker River Sockeye"
"8",2004,"Sockeye","Baker River Sockeye",2377877,384804.25,"RMIS_10.29.24_https://www.rmpc.org/","2004 Sockeye Baker River Sockeye"
"9",2005,"Sockeye","Baker River Sockeye",1126776,169009.73,"RMIS_10.29.24_https://www.rmpc.org/","2005 Sockeye Baker River Sockeye"
"10",2006,"Sockeye","Baker River Sockeye",1498067,350318.2,"RMIS_10.29.24_https://www.rmpc.org/","2006 Sockeye Baker River Sockeye"
"11",2007,"Sockeye","Baker River Sockeye",2780346,576549.67,"RMIS_10.29.24_https://www.rmpc.org/","2007 Sockeye Baker River Sockeye"
"12",2008,"Sockeye","Baker River Sockeye",2014058,344367.49,"RMIS_10.29.24_https://www.rmpc.org/","2008 Sockeye Baker River Sockeye"
"13",2009,"Sockeye","Baker River Sockeye",2083349,1512104.37,"RMIS_10.29.24_https://www.rmpc.org/","2009 Sockeye Baker River Sockeye"
"14",2010,"Sockeye","Baker River Sockeye",5178348,1705619.48,"RMIS_10.29.24_https://www.rmpc.org/","2010 Sockeye Baker River Sockeye"
"15",2011,"Sockeye","Baker River Sockeye",4124433,2379286.1,"RMIS_10.29.24_https://www.rmpc.org/","2011 Sockeye Baker River Sockeye"
"16",2012,"Sockeye","Baker River Sockeye",3659995,1796055.19,"RMIS_10.29.24_https://www.rmpc.org/","2012 Sockeye Baker River Sockeye"
"17",2013,"Sockeye","Baker River Sockeye",5034562,2109119.78,"RMIS_10.29.24_https://www.rmpc.org/","2013 Sockeye Baker River Sockeye"
"18",2014,"Sockeye","Baker River Sockeye",6022435,5341938.39,"RMIS_10.29.24_https://www.rmpc.org/","2014 Sockeye Baker River Sockeye"
"19",2015,"Sockeye","Baker River Sockeye",5629093,5449743.62,"RMIS_10.29.24_https://www.rmpc.org/","2015 Sockeye Baker River Sockeye"
"20",2016,"Sockeye","Baker River Sockeye",6988340,4090083.82,"RMIS_10.29.24_https://www.rmpc.org/","2016 Sockeye Baker River Sockeye"
"21",2017,"Sockeye","Baker River Sockeye",5136923,3464812.65,"RMIS_10.29.24_https://www.rmpc.org/","2017 Sockeye Baker River Sockeye"
"22",2018,"Sockeye","Baker River Sockeye",8611826,4648825.53,"RMIS_10.29.24_https://www.rmpc.org/","2018 Sockeye Baker River Sockeye"
"23",2019,"Sockeye","Baker River Sockeye",8795203,5728536.68,"RMIS_10.29.24_https://www.rmpc.org/","2019 Sockeye Baker River Sockeye"
"24",2020,"Sockeye","Baker River Sockeye",10783378,5575100.11,"RMIS_10.29.24_https://www.rmpc.org/","2020 Sockeye Baker River Sockeye"
"25",2021,"Sockeye","Baker River Sockeye",8159717,4714607.63,"RMIS_10.29.24_https://www.rmpc.org/","2021 Sockeye Baker River Sockeye"
"26",2022,"Sockeye","Baker River Sockeye",9349085,3950606.63,"RMIS_10.29.24_https://www.rmpc.org/","2022 Sockeye Baker River Sockeye"
"27",2023,"Sockeye","Baker River Sockeye",8693514,5160896.85,"RMIS_10.29.24_https://www.rmpc.org/","2023 Sockeye Baker River Sockeye"
"28",1992,"Sockeye","Big Bear Creek (provisional) Sockeye",2079100,316110,"RMIS_10.29.24_https://www.rmpc.org/","1992 Sockeye Big Bear Creek (provisional) Sockeye"
"29",1993,"Sockeye","Big Bear Creek (provisional) Sockeye",3067404,466869.11,"RMIS_10.29.24_https://www.rmpc.org/","1993 Sockeye Big Bear Creek (provisional) Sockeye"
"30",1994,"Sockeye","Big Bear Creek (provisional) Sockeye",8253059,1153482.2,"RMIS_10.29.24_https://www.rmpc.org/","1994 Sockeye Big Bear Creek (provisional) Sockeye"
"31",1995,"Sockeye","Big Bear Creek (provisional) Sockeye",7182522,1005553.08,"RMIS_10.29.24_https://www.rmpc.org/","1995 Sockeye Big Bear Creek (provisional) Sockeye"
"32",1996,"Sockeye","Big Bear Creek (provisional) Sockeye",5592000,782880,"RMIS_10.29.24_https://www.rmpc.org/","1996 Sockeye Big Bear Creek (provisional) Sockeye"
"33",1997,"Sockeye","Big Bear Creek (provisional) Sockeye",14048000,1966720,"RMIS_10.29.24_https://www.rmpc.org/","1997 Sockeye Big Bear Creek (provisional) Sockeye"
"34",1998,"Sockeye","Big Bear Creek (provisional) Sockeye",9955300,1570738,"RMIS_10.29.24_https://www.rmpc.org/","1998 Sockeye Big Bear Creek (provisional) Sockeye"
"35",1999,"Sockeye","Big Bear Creek (provisional) Sockeye",9636000,1558630,"RMIS_10.29.24_https://www.rmpc.org/","1999 Sockeye Big Bear Creek (provisional) Sockeye"
"36",2000,"Sockeye","Big Bear Creek (provisional) Sockeye",3244000,555350,"RMIS_10.29.24_https://www.rmpc.org/","2000 Sockeye Big Bear Creek (provisional) Sockeye"
"37",2001,"Sockeye","Big Bear Creek (provisional) Sockeye",17149000,2781160,"RMIS_10.29.24_https://www.rmpc.org/","2001 Sockeye Big Bear Creek (provisional) Sockeye"
"38",2002,"Sockeye","Big Bear Creek (provisional) Sockeye",12532000,2080950,"RMIS_10.29.24_https://www.rmpc.org/","2002 Sockeye Big Bear Creek (provisional) Sockeye"
"39",2003,"Sockeye","Big Bear Creek (provisional) Sockeye",15958000,2717910,"RMIS_10.29.24_https://www.rmpc.org/","2003 Sockeye Big Bear Creek (provisional) Sockeye"
"40",2004,"Sockeye","Big Bear Creek (provisional) Sockeye",9916000,1754040,"RMIS_10.29.24_https://www.rmpc.org/","2004 Sockeye Big Bear Creek (provisional) Sockeye"
"41",2005,"Sockeye","Big Bear Creek (provisional) Sockeye",15255000,2348130,"RMIS_10.29.24_https://www.rmpc.org/","2005 Sockeye Big Bear Creek (provisional) Sockeye"
"42",2006,"Sockeye","Big Bear Creek (provisional) Sockeye",6593000,1133290,"RMIS_10.29.24_https://www.rmpc.org/","2006 Sockeye Big Bear Creek (provisional) Sockeye"
"43",2007,"Sockeye","Big Bear Creek (provisional) Sockeye",11830000,2045750,"RMIS_10.29.24_https://www.rmpc.org/","2007 Sockeye Big Bear Creek (provisional) Sockeye"
"44",2008,"Sockeye","Big Bear Creek (provisional) Sockeye",2496850,607531.5,"RMIS_10.29.24_https://www.rmpc.org/","2008 Sockeye Big Bear Creek (provisional) Sockeye"
"45",2009,"Sockeye","Big Bear Creek (provisional) Sockeye",2629000,581730,"RMIS_10.29.24_https://www.rmpc.org/","2009 Sockeye Big Bear Creek (provisional) Sockeye"
"46",2010,"Sockeye","Big Bear Creek (provisional) Sockeye",4537000,1007440,"RMIS_10.29.24_https://www.rmpc.org/","2010 Sockeye Big Bear Creek (provisional) Sockeye"
"47",2011,"Sockeye","Big Bear Creek (provisional) Sockeye",8777000,1726770,"RMIS_10.29.24_https://www.rmpc.org/","2011 Sockeye Big Bear Creek (provisional) Sockeye"
"48",2012,"Sockeye","Big Bear Creek (provisional) Sockeye",8110830,1946230.6,"RMIS_10.29.24_https://www.rmpc.org/","2012 Sockeye Big Bear Creek (provisional) Sockeye"
"49",2013,"Sockeye","Big Bear Creek (provisional) Sockeye",18776616,4437149.19,"RMIS_10.29.24_https://www.rmpc.org/","2013 Sockeye Big Bear Creek (provisional) Sockeye"
"50",2014,"Sockeye","Big Bear Creek (provisional) Sockeye",7379230,1371993.37,"RMIS_10.29.24_https://www.rmpc.org/","2014 Sockeye Big Bear Creek (provisional) Sockeye"
"51",2015,"Sockeye","Big Bear Creek (provisional) Sockeye",5027232,1004345.15,"RMIS_10.29.24_https://www.rmpc.org/","2015 Sockeye Big Bear Creek (provisional) Sockeye"
"52",2016,"Sockeye","Big Bear Creek (provisional) Sockeye",3251474,744536.19,"RMIS_10.29.24_https://www.rmpc.org/","2016 Sockeye Big Bear Creek (provisional) Sockeye"
"53",2017,"Sockeye","Big Bear Creek (provisional) Sockeye",4315312,850682.52,"RMIS_10.29.24_https://www.rmpc.org/","2017 Sockeye Big Bear Creek (provisional) Sockeye"
"54",2018,"Sockeye","Big Bear Creek (provisional) Sockeye",6878740,1545838.95,"RMIS_10.29.24_https://www.rmpc.org/","2018 Sockeye Big Bear Creek (provisional) Sockeye"
"55",2019,"Sockeye","Big Bear Creek (provisional) Sockeye",4447691,1205470.53,"RMIS_10.29.24_https://www.rmpc.org/","2019 Sockeye Big Bear Creek (provisional) Sockeye"
"56",2020,"Sockeye","Big Bear Creek (provisional) Sockeye",2490243,1648146.23,"RMIS_10.29.24_https://www.rmpc.org/","2020 Sockeye Big Bear Creek (provisional) Sockeye"
"57",2021,"Sockeye","Big Bear Creek (provisional) Sockeye",684383,1147358.42,"RMIS_10.29.24_https://www.rmpc.org/","2021 Sockeye Big Bear Creek (provisional) Sockeye"
"58",2022,"Sockeye","Big Bear Creek (provisional) Sockeye",2353124,1491828.69,"RMIS_10.29.24_https://www.rmpc.org/","2022 Sockeye Big Bear Creek (provisional) Sockeye"
"59",2023,"Sockeye","Big Bear Creek (provisional) Sockeye",4310410,1652169.94,"RMIS_10.29.24_https://www.rmpc.org/","2023 Sockeye Big Bear Creek (provisional) Sockeye"
"60",1990,"Steelhead","California Central Valley Steelhead",496009,14692863.19,"RMIS_10.29.24_https://www.rmpc.org/","1990 Steelhead California Central Valley Steelhead"
"61",1991,"Steelhead","California Central Valley Steelhead",1082092,84468334.38,"RMIS_10.29.24_https://www.rmpc.org/","1991 Steelhead California Central Valley Steelhead"
"62",1992,"Steelhead","California Central Valley Steelhead",895113,86598994.53,"RMIS_10.29.24_https://www.rmpc.org/","1992 Steelhead California Central Valley Steelhead"
"63",1993,"Steelhead","California Central Valley Steelhead",1416943,89209331.3,"RMIS_10.29.24_https://www.rmpc.org/","1993 Steelhead California Central Valley Steelhead"
"64",1994,"Steelhead","California Central Valley Steelhead",1327884,75088159.32,"RMIS_10.29.24_https://www.rmpc.org/","1994 Steelhead California Central Valley Steelhead"
"65",1995,"Steelhead","California Central Valley Steelhead",1276130,63840172.5,"RMIS_10.29.24_https://www.rmpc.org/","1995 Steelhead California Central Valley Steelhead"
"66",1996,"Steelhead","California Central Valley Steelhead",930462,60703079.61,"RMIS_10.29.24_https://www.rmpc.org/","1996 Steelhead California Central Valley Steelhead"
"67",1997,"Steelhead","California Central Valley Steelhead",117434,NA,"RMIS_10.29.24_https://www.rmpc.org/","1997 Steelhead California Central Valley Steelhead"
"68",1998,"Steelhead","California Central Valley Steelhead",954247,NA,"RMIS_10.29.24_https://www.rmpc.org/","1998 Steelhead California Central Valley Steelhead"
"69",1999,"Steelhead","California Central Valley Steelhead",969822,96129199.87,"RMIS_10.29.24_https://www.rmpc.org/","1999 Steelhead California Central Valley Steelhead"
"70",2000,"Steelhead","California Central Valley Steelhead",863763,94940084.89,"RMIS_10.29.24_https://www.rmpc.org/","2000 Steelhead California Central Valley Steelhead"
"71",2001,"Steelhead","California Central Valley Steelhead",936778,80267133.08,"RMIS_10.29.24_https://www.rmpc.org/","2001 Steelhead California Central Valley Steelhead"
"72",2002,"Steelhead","California Central Valley Steelhead",1693944,NA,"RMIS_10.29.24_https://www.rmpc.org/","2002 Steelhead California Central Valley Steelhead"
"73",2003,"Steelhead","California Central Valley Steelhead",529364,NA,"RMIS_10.29.24_https://www.rmpc.org/","2003 Steelhead California Central Valley Steelhead"
"74",2004,"Steelhead","California Central Valley Steelhead",592257,NA,"RMIS_10.29.24_https://www.rmpc.org/","2004 Steelhead California Central Valley Steelhead"
"75",2005,"Steelhead","California Central Valley Steelhead",979739,64644924.48,"RMIS_10.29.24_https://www.rmpc.org/","2005 Steelhead California Central Valley Steelhead"
"76",2006,"Steelhead","California Central Valley Steelhead",828826,100622255.32,"RMIS_10.29.24_https://www.rmpc.org/","2006 Steelhead California Central Valley Steelhead"
"77",2007,"Steelhead","California Central Valley Steelhead",2283281,240006004.01,"RMIS_10.29.24_https://www.rmpc.org/","2007 Steelhead California Central Valley Steelhead"
"78",2008,"Steelhead","California Central Valley Steelhead",1785306,142107389.46,"RMIS_10.29.24_https://www.rmpc.org/","2008 Steelhead California Central Valley Steelhead"
"79",2009,"Steelhead","California Central Valley Steelhead",1423063,153448138.21,"RMIS_10.29.24_https://www.rmpc.org/","2009 Steelhead California Central Valley Steelhead"
"80",2010,"Steelhead","California Central Valley Steelhead",1475778,NA,"RMIS_10.29.24_https://www.rmpc.org/","2010 Steelhead California Central Valley Steelhead"
"81",2011,"Steelhead","California Central Valley Steelhead",807168,91743110.3,"RMIS_10.29.24_https://www.rmpc.org/","2011 Steelhead California Central Valley Steelhead"
"82",2012,"Steelhead","California Central Valley Steelhead",665964,70192805.6,"RMIS_10.29.24_https://www.rmpc.org/","2012 Steelhead California Central Valley Steelhead"
"83",2013,"Steelhead","California Central Valley Steelhead",667046,76114498.6,"RMIS_10.29.24_https://www.rmpc.org/","2013 Steelhead California Central Valley Steelhead"
"84",2014,"Steelhead","California Central Valley Steelhead",655789,78825837.8,"RMIS_10.29.24_https://www.rmpc.org/","2014 Steelhead California Central Valley Steelhead"
"85",2015,"Steelhead","California Central Valley Steelhead",1374420,146238288,"RMIS_10.29.24_https://www.rmpc.org/","2015 Steelhead California Central Valley Steelhead"
"86",2016,"Steelhead","California Central Valley Steelhead",591362,67592676.6,"RMIS_10.29.24_https://www.rmpc.org/","2016 Steelhead California Central Valley Steelhead"
"87",2017,"Steelhead","California Central Valley Steelhead",576766,63328906.8,"RMIS_10.29.24_https://www.rmpc.org/","2017 Steelhead California Central Valley Steelhead"
"88",2019,"Steelhead","California Central Valley Steelhead",1219838,122609776.4,"RMIS_10.29.24_https://www.rmpc.org/","2019 Steelhead California Central Valley Steelhead"
"89",2020,"Steelhead","California Central Valley Steelhead",631149,NA,"RMIS_10.29.24_https://www.rmpc.org/","2020 Steelhead California Central Valley Steelhead"
"90",2021,"Steelhead","California Central Valley Steelhead",610645,62407919,"RMIS_10.29.24_https://www.rmpc.org/","2021 Steelhead California Central Valley Steelhead"
"91",1989,"Chinook","California Coastal Chinook salmon",157870,9094890.7,"RMIS_10.29.24_https://www.rmpc.org/","1989 Chinook California Coastal Chinook salmon"
"92",1990,"Chinook","California Coastal Chinook salmon",150161,NA,"RMIS_10.29.24_https://www.rmpc.org/","1990 Chinook California Coastal Chinook salmon"
"93",1992,"Chinook","California Coastal Chinook salmon",129908,1224998.14,"RMIS_10.29.24_https://www.rmpc.org/","1992 Chinook California Coastal Chinook salmon"
"94",1993,"Chinook","California Coastal Chinook salmon",420894,8045206.4,"RMIS_10.29.24_https://www.rmpc.org/","1993 Chinook California Coastal Chinook salmon"
"95",1994,"Chinook","California Coastal Chinook salmon",10500,635040,"RMIS_10.29.24_https://www.rmpc.org/","1994 Chinook California Coastal Chinook salmon"
"97",1996,"Chinook","California Coastal Chinook salmon",121280,NA,"RMIS_10.29.24_https://www.rmpc.org/","1996 Chinook California Coastal Chinook salmon"
"98",1997,"Chinook","California Coastal Chinook salmon",73250,1354739.02,"RMIS_10.29.24_https://www.rmpc.org/","1997 Chinook California Coastal Chinook salmon"
"99",1998,"Chinook","California Coastal Chinook salmon",45515,2613471.3,"RMIS_10.29.24_https://www.rmpc.org/","1998 Chinook California Coastal Chinook salmon"
"100",1999,"Chinook","California Coastal Chinook salmon",35649,2291828.91,"RMIS_10.29.24_https://www.rmpc.org/","1999 Chinook California Coastal Chinook salmon"
"101",2000,"Chinook","California Coastal Chinook salmon",45543,2067779.61,"RMIS_10.29.24_https://www.rmpc.org/","2000 Chinook California Coastal Chinook salmon"
"102",2001,"Chinook","California Coastal Chinook salmon",85601,NA,"RMIS_10.29.24_https://www.rmpc.org/","2001 Chinook California Coastal Chinook salmon"
"103",2002,"Chinook","California Coastal Chinook salmon",156570,6520312.24,"RMIS_10.29.24_https://www.rmpc.org/","2002 Chinook California Coastal Chinook salmon"
"104",2003,"Chinook","California Coastal Chinook salmon",57874,1782887.05,"RMIS_10.29.24_https://www.rmpc.org/","2003 Chinook California Coastal Chinook salmon"
"105",2004,"Chinook","California Coastal Chinook salmon",11503,65222.01,"RMIS_10.29.24_https://www.rmpc.org/","2004 Chinook California Coastal Chinook salmon"
"106",1989,"Coho","Central California Coast coho salmon",120757,NA,"RMIS_10.29.24_https://www.rmpc.org/","1989 Coho Central California Coast coho salmon"
"107",1990,"Coho","Central California Coast coho salmon",68918,2798778.24,"RMIS_10.29.24_https://www.rmpc.org/","1990 Coho Central California Coast coho salmon"
"108",1991,"Coho","Central California Coast coho salmon",238243,NA,"RMIS_10.29.24_https://www.rmpc.org/","1991 Coho Central California Coast coho salmon"
"109",1992,"Coho","Central California Coast coho salmon",110509,4407918.66,"RMIS_10.29.24_https://www.rmpc.org/","1992 Coho Central California Coast coho salmon"
"110",1993,"Coho","Central California Coast coho salmon",106030,8002335.45,"RMIS_10.29.24_https://www.rmpc.org/","1993 Coho Central California Coast coho salmon"
"111",1994,"Coho","Central California Coast coho salmon",146699,NA,"RMIS_10.29.24_https://www.rmpc.org/","1994 Coho Central California Coast coho salmon"
"115",1998,"Coho","Central California Coast coho salmon",180793,3844545.31,"RMIS_10.29.24_https://www.rmpc.org/","1998 Coho Central California Coast coho salmon"
"117",2005,"Coho","Central California Coast coho salmon",26058,155240.28,"RMIS_10.29.24_https://www.rmpc.org/","2005 Coho Central California Coast coho salmon"
"118",2006,"Coho","Central California Coast coho salmon",42852,165891.94,"RMIS_10.29.24_https://www.rmpc.org/","2006 Coho Central California Coast coho salmon"
"119",2007,"Coho","Central California Coast coho salmon",59451,NA,"RMIS_10.29.24_https://www.rmpc.org/","2007 Coho Central California Coast coho salmon"
"120",2008,"Coho","Central California Coast coho salmon",92480,1703719.5,"RMIS_10.29.24_https://www.rmpc.org/","2008 Coho Central California Coast coho salmon"
"121",2009,"Coho","Central California Coast coho salmon",57178,818415.1,"RMIS_10.29.24_https://www.rmpc.org/","2009 Coho Central California Coast coho salmon"
"122",2010,"Coho","Central California Coast coho salmon",162099,2241083.79,"RMIS_10.29.24_https://www.rmpc.org/","2010 Coho Central California Coast coho salmon"
"123",2011,"Coho","Central California Coast coho salmon",151294,1819781,"RMIS_10.29.24_https://www.rmpc.org/","2011 Coho Central California Coast coho salmon"
"124",2012,"Coho","Central California Coast coho salmon",174770,2167945.55,"RMIS_10.29.24_https://www.rmpc.org/","2012 Coho Central California Coast coho salmon"
"125",2013,"Coho","Central California Coast coho salmon",216650,3768139.62,"RMIS_10.29.24_https://www.rmpc.org/","2013 Coho Central California Coast coho salmon"
"126",2014,"Coho","Central California Coast coho salmon",250604,NA,"RMIS_10.29.24_https://www.rmpc.org/","2014 Coho Central California Coast coho salmon"
"127",2015,"Coho","Central California Coast coho salmon",111690,1630058.4,"RMIS_10.29.24_https://www.rmpc.org/","2015 Coho Central California Coast coho salmon"
"128",2016,"Coho","Central California Coast coho salmon",159251,1751184.5,"RMIS_10.29.24_https://www.rmpc.org/","2016 Coho Central California Coast coho salmon"
"129",2017,"Coho","Central California Coast coho salmon",151691,1880507.91,"RMIS_10.29.24_https://www.rmpc.org/","2017 Coho Central California Coast coho salmon"
"130",2018,"Coho","Central California Coast coho salmon",197620,2902447.77,"RMIS_10.29.24_https://www.rmpc.org/","2018 Coho Central California Coast coho salmon"
"131",2019,"Coho","Central California Coast coho salmon",171830,2077255.08,"RMIS_10.29.24_https://www.rmpc.org/","2019 Coho Central California Coast coho salmon"
"132",2020,"Coho","Central California Coast coho salmon",230352,2716171.18,"RMIS_10.29.24_https://www.rmpc.org/","2020 Coho Central California Coast coho salmon"
"133",2021,"Coho","Central California Coast coho salmon",171351,1934411.03,"RMIS_10.29.24_https://www.rmpc.org/","2021 Coho Central California Coast coho salmon"
"134",2022,"Coho","Central California Coast coho salmon",129794,2040395.62,"RMIS_10.29.24_https://www.rmpc.org/","2022 Coho Central California Coast coho salmon"
"135",2023,"Coho","Central California Coast coho salmon",22155,517766.13,"RMIS_10.29.24_https://www.rmpc.org/","2023 Coho Central California Coast coho salmon"
"136",1989,"Steelhead","Central California Coast steelhead",180644,NA,"RMIS_10.29.24_https://www.rmpc.org/","1989 Steelhead Central California Coast steelhead"
"137",1990,"Steelhead","Central California Coast steelhead",599187,NA,"RMIS_10.29.24_https://www.rmpc.org/","1990 Steelhead Central California Coast steelhead"
"138",1991,"Steelhead","Central California Coast steelhead",265000,NA,"RMIS_10.29.24_https://www.rmpc.org/","1991 Steelhead Central California Coast steelhead"
"139",1992,"Steelhead","Central California Coast steelhead",1638339,NA,"RMIS_10.29.24_https://www.rmpc.org/","1992 Steelhead Central California Coast steelhead"
"140",1993,"Steelhead","Central California Coast steelhead",1948601,NA,"RMIS_10.29.24_https://www.rmpc.org/","1993 Steelhead Central California Coast steelhead"
"149",2009,"Steelhead","Central California Coast steelhead",516482,56406200.64,"RMIS_10.29.24_https://www.rmpc.org/","2009 Steelhead Central California Coast steelhead"
"152",1990,"Chinook","Central Valley fall-late fall-run Chinook Salmon",19913436,106769027.28,"RMIS_10.29.24_https://www.rmpc.org/","1990 Chinook Central Valley fall-late fall-run Chinook Salmon"
"153",1991,"Chinook","Central Valley fall-late fall-run Chinook Salmon",24904795,NA,"RMIS_10.29.24_https://www.rmpc.org/","1991 Chinook Central Valley fall-late fall-run Chinook Salmon"
"154",1992,"Chinook","Central Valley fall-late fall-run Chinook Salmon",27402293,NA,"RMIS_10.29.24_https://www.rmpc.org/","1992 Chinook Central Valley fall-late fall-run Chinook Salmon"
"155",1993,"Chinook","Central Valley fall-late fall-run Chinook Salmon",14166115,NA,"RMIS_10.29.24_https://www.rmpc.org/","1993 Chinook Central Valley fall-late fall-run Chinook Salmon"
"156",1994,"Chinook","Central Valley fall-late fall-run Chinook Salmon",20223051,NA,"RMIS_10.29.24_https://www.rmpc.org/","1994 Chinook Central Valley fall-late fall-run Chinook Salmon"
"157",1995,"Chinook","Central Valley fall-late fall-run Chinook Salmon",21784628,NA,"RMIS_10.29.24_https://www.rmpc.org/","1995 Chinook Central Valley fall-late fall-run Chinook Salmon"
"158",1996,"Chinook","Central Valley fall-late fall-run Chinook Salmon",27734203,NA,"RMIS_10.29.24_https://www.rmpc.org/","1996 Chinook Central Valley fall-late fall-run Chinook Salmon"
"159",1997,"Chinook","Central Valley fall-late fall-run Chinook Salmon",19889283,NA,"RMIS_10.29.24_https://www.rmpc.org/","1997 Chinook Central Valley fall-late fall-run Chinook Salmon"
"160",1998,"Chinook","Central Valley fall-late fall-run Chinook Salmon",35760933,NA,"RMIS_10.29.24_https://www.rmpc.org/","1998 Chinook Central Valley fall-late fall-run Chinook Salmon"
"161",1999,"Chinook","Central Valley fall-late fall-run Chinook Salmon",23369851,NA,"RMIS_10.29.24_https://www.rmpc.org/","1999 Chinook Central Valley fall-late fall-run Chinook Salmon"
"162",2000,"Chinook","Central Valley fall-late fall-run Chinook Salmon",18213216,NA,"RMIS_10.29.24_https://www.rmpc.org/","2000 Chinook Central Valley fall-late fall-run Chinook Salmon"
"163",2001,"Chinook","Central Valley fall-late fall-run Chinook Salmon",22873879,NA,"RMIS_10.29.24_https://www.rmpc.org/","2001 Chinook Central Valley fall-late fall-run Chinook Salmon"
"164",2002,"Chinook","Central Valley fall-late fall-run Chinook Salmon",18726442,NA,"RMIS_10.29.24_https://www.rmpc.org/","2002 Chinook Central Valley fall-late fall-run Chinook Salmon"
"165",2003,"Chinook","Central Valley fall-late fall-run Chinook Salmon",31064562,NA,"RMIS_10.29.24_https://www.rmpc.org/","2003 Chinook Central Valley fall-late fall-run Chinook Salmon"
"166",2004,"Chinook","Central Valley fall-late fall-run Chinook Salmon",25771654,NA,"RMIS_10.29.24_https://www.rmpc.org/","2004 Chinook Central Valley fall-late fall-run Chinook Salmon"
"167",2005,"Chinook","Central Valley fall-late fall-run Chinook Salmon",32215454,NA,"RMIS_10.29.24_https://www.rmpc.org/","2005 Chinook Central Valley fall-late fall-run Chinook Salmon"
"168",2006,"Chinook","Central Valley fall-late fall-run Chinook Salmon",30085792,NA,"RMIS_10.29.24_https://www.rmpc.org/","2006 Chinook Central Valley fall-late fall-run Chinook Salmon"
"169",2007,"Chinook","Central Valley fall-late fall-run Chinook Salmon",36420149,NA,"RMIS_10.29.24_https://www.rmpc.org/","2007 Chinook Central Valley fall-late fall-run Chinook Salmon"
"170",2008,"Chinook","Central Valley fall-late fall-run Chinook Salmon",37171670,NA,"RMIS_10.29.24_https://www.rmpc.org/","2008 Chinook Central Valley fall-late fall-run Chinook Salmon"
"171",2009,"Chinook","Central Valley fall-late fall-run Chinook Salmon",30585555,NA,"RMIS_10.29.24_https://www.rmpc.org/","2009 Chinook Central Valley fall-late fall-run Chinook Salmon"
"172",2010,"Chinook","Central Valley fall-late fall-run Chinook Salmon",31536798,NA,"RMIS_10.29.24_https://www.rmpc.org/","2010 Chinook Central Valley fall-late fall-run Chinook Salmon"
"173",2011,"Chinook","Central Valley fall-late fall-run Chinook Salmon",37612568,NA,"RMIS_10.29.24_https://www.rmpc.org/","2011 Chinook Central Valley fall-late fall-run Chinook Salmon"
"174",2012,"Chinook","Central Valley fall-late fall-run Chinook Salmon",34506782,318515927.48,"RMIS_10.29.24_https://www.rmpc.org/","2012 Chinook Central Valley fall-late fall-run Chinook Salmon"
"175",2013,"Chinook","Central Valley fall-late fall-run Chinook Salmon",28758627,225582849.17,"RMIS_10.29.24_https://www.rmpc.org/","2013 Chinook Central Valley fall-late fall-run Chinook Salmon"
"176",2014,"Chinook","Central Valley fall-late fall-run Chinook Salmon",32490965,NA,"RMIS_10.29.24_https://www.rmpc.org/","2014 Chinook Central Valley fall-late fall-run Chinook Salmon"
"177",2015,"Chinook","Central Valley fall-late fall-run Chinook Salmon",29708662,NA,"RMIS_10.29.24_https://www.rmpc.org/","2015 Chinook Central Valley fall-late fall-run Chinook Salmon"
"178",2016,"Chinook","Central Valley fall-late fall-run Chinook Salmon",33493073,NA,"RMIS_10.29.24_https://www.rmpc.org/","2016 Chinook Central Valley fall-late fall-run Chinook Salmon"
"179",2017,"Chinook","Central Valley fall-late fall-run Chinook Salmon",28080329,NA,"RMIS_10.29.24_https://www.rmpc.org/","2017 Chinook Central Valley fall-late fall-run Chinook Salmon"
"180",2018,"Chinook","Central Valley fall-late fall-run Chinook Salmon",28109362,239596934.48,"RMIS_10.29.24_https://www.rmpc.org/","2018 Chinook Central Valley fall-late fall-run Chinook Salmon"
"181",2019,"Chinook","Central Valley fall-late fall-run Chinook Salmon",32302986,251818691.42,"RMIS_10.29.24_https://www.rmpc.org/","2019 Chinook Central Valley fall-late fall-run Chinook Salmon"
"182",2020,"Chinook","Central Valley fall-late fall-run Chinook Salmon",31374271,217434746.63,"RMIS_10.29.24_https://www.rmpc.org/","2020 Chinook Central Valley fall-late fall-run Chinook Salmon"
"183",2021,"Chinook","Central Valley fall-late fall-run Chinook Salmon",32090557,NA,"RMIS_10.29.24_https://www.rmpc.org/","2021 Chinook Central Valley fall-late fall-run Chinook Salmon"
