time,flow_anomaly_7_day_min,location
UTC,7-day min flow anomaly,
1994-01-01T00:00:00Z,-0.739724,OR & N CA Coast
1995-01-01T00:00:00Z,-0.5150934,OR & N CA Coast
1996-01-01T00:00:00Z,0.87783843,OR & N CA Coast
1997-01-01T00:00:00Z,0.7886278,OR & N CA Coast
1998-01-01T00:00:00Z,1.1018586,OR & N CA Coast
1999-01-01T00:00:00Z,0.928637,OR & N CA Coast
2000-01-01T00:00:00Z,0.38267234,OR & N CA Coast
2001-01-01T00:00:00Z,-0.19878723,OR & N CA Coast
2002-01-01T00:00:00Z,-0.48970145,OR & N CA Coast
2003-01-01T00:00:00Z,-0.47811162,OR & N CA Coast
2004-01-01T00:00:00Z,-0.15575781,OR & N CA Coast
2005-01-01T00:00:00Z,-0.012367783,OR & N CA Coast
2006-01-01T00:00:00Z,0.41366494,OR & N CA Coast
2007-01-01T00:00:00Z,-0.020627057,OR & N CA Coast
2008-01-01T00:00:00Z,0.13008621,OR & N CA Coast
2009-01-01T00:00:00Z,-0.2143997,OR & N CA Coast
2010-01-01T00:00:00Z,-0.071779236,OR & N CA Coast
2011-01-01T00:00:00Z,0.82147294,OR & N CA Coast
2012-01-01T00:00:00Z,0.39284605,OR & N CA Coast
2013-01-01T00:00:00Z,-0.20287381,OR & N CA Coast
2014-01-01T00:00:00Z,-0.4841699,OR & N CA Coast
2015-01-01T00:00:00Z,-0.6459456,OR & N CA Coast
2016-01-01T00:00:00Z,-0.4924037,OR & N CA Coast
2017-01-01T00:00:00Z,0.6293066,OR & N CA Coast
2018-01-01T00:00:00Z,-0.018847913,OR & N CA Coast
2019-01-01T00:00:00Z,0.07925071,OR & N CA Coast
2020-01-01T00:00:00Z,-0.0265184,OR & N CA Coast
2021-01-01T00:00:00Z,-0.76854414,OR & N CA Coast
2022-01-01T00:00:00Z,-0.13008673,OR & N CA Coast
2023-01-01T00:00:00Z,-0.082201816,OR & N CA Coast
1981-01-01T00:00:00Z,0.38310632,S CA Bight
1982-01-01T00:00:00Z,0.22522146,S CA Bight
1983-01-01T00:00:00Z,0.80523026,S CA Bight
1984-01-01T00:00:00Z,0.6742876,S CA Bight
1985-01-01T00:00:00Z,0.027773643,S CA Bight
1986-01-01T00:00:00Z,0.05121361,S CA Bight
1987-01-01T00:00:00Z,-0.05877518,S CA Bight
1988-01-01T00:00:00Z,-0.11773898,S CA Bight
1989-01-01T00:00:00Z,-0.2674549,S CA Bight
1990-01-01T00:00:00Z,-0.35057223,S CA Bight
1991-01-01T00:00:00Z,-0.44270217,S CA Bight
1992-01-01T00:00:00Z,-0.2743213,S CA Bight
1993-01-01T00:00:00Z,0.036562927,S CA Bight
1994-01-01T00:00:00Z,-0.2092303,S CA Bight
1995-01-01T00:00:00Z,0.26847628,S CA Bight
1996-01-01T00:00:00Z,0.19950706,S CA Bight
1997-01-01T00:00:00Z,-0.0085615665,S CA Bight
1998-01-01T00:00:00Z,0.49319667,S CA Bight
1999-01-01T00:00:00Z,0.71813154,S CA Bight
2000-01-01T00:00:00Z,0.1178903,S CA Bight
2001-01-01T00:00:00Z,0.5523501,S CA Bight
2002-01-01T00:00:00Z,0.01614756,S CA Bight
2003-01-01T00:00:00Z,-0.15618946,S CA Bight
2004-01-01T00:00:00Z,-0.13301133,S CA Bight
2005-01-01T00:00:00Z,0.3989039,S CA Bight
2006-01-01T00:00:00Z,1.2068849,S CA Bight
2007-01-01T00:00:00Z,-0.046609055,S CA Bight
2008-01-01T00:00:00Z,-0.001600138,S CA Bight
2009-01-01T00:00:00Z,-0.008304386,S CA Bight
2010-01-01T00:00:00Z,-0.09002244,S CA Bight
2011-01-01T00:00:00Z,0.79539096,S CA Bight
2012-01-01T00:00:00Z,-0.114585996,S CA Bight
2013-01-01T00:00:00Z,-0.36744335,S CA Bight
2014-01-01T00:00:00Z,-0.4822694,S CA Bight
2015-01-01T00:00:00Z,-0.549819,S CA Bight
2016-01-01T00:00:00Z,-0.5130684,S CA Bight
2017-01-01T00:00:00Z,-0.4036971,S CA Bight
2018-01-01T00:00:00Z,-0.48404083,S CA Bight
2019-01-01T00:00:00Z,-0.3621495,S CA Bight
2020-01-01T00:00:00Z,-0.1982883,S CA Bight
2021-01-01T00:00:00Z,-0.4923854,S CA Bight
2022-01-01T00:00:00Z,-0.525282,S CA Bight
2023-01-01T00:00:00Z,-0.38657776,S CA Bight
1981-01-01T00:00:00Z,-0.4161303,Sacramento San Joaquin
1982-01-01T00:00:00Z,0.12418123,Sacramento San Joaquin
1983-01-01T00:00:00Z,1.9165403,Sacramento San Joaquin
1984-01-01T00:00:00Z,0.8506224,Sacramento San Joaquin
1985-01-01T00:00:00Z,0.11588458,Sacramento San Joaquin
