time,SWE_anomaly,location
UTC,April 1 anomaly,
2008-01-01T00:00:00Z,1.0724545,Columbia Unglaciated
2009-01-01T00:00:00Z,0.3356068,Columbia Unglaciated
2010-01-01T00:00:00Z,-0.577438,Columbia Unglaciated
2011-01-01T00:00:00Z,0.7525149,Columbia Unglaciated
2012-01-01T00:00:00Z,0.10703625,Columbia Unglaciated
2013-01-01T00:00:00Z,-0.539448,Columbia Unglaciated
2014-01-01T00:00:00Z,-0.1353942,Columbia Unglaciated
2015-01-01T00:00:00Z,-1.4354202,Columbia Unglaciated
2016-01-01T00:00:00Z,-0.058309827,Columbia Unglaciated
2017-01-01T00:00:00Z,0.19068979,Columbia Unglaciated
2018-01-01T00:00:00Z,-0.07381346,Columbia Unglaciated
2019-01-01T00:00:00Z,0.14793476,Columbia Unglaciated
2020-01-01T00:00:00Z,-0.08018587,Columbia Unglaciated
2021-01-01T00:00:00Z,-0.020834569,Columbia Unglaciated
2022-01-01T00:00:00Z,-0.8407481,Columbia Unglaciated
2023-01-01T00:00:00Z,0.90421087,Columbia Unglaciated
1937-01-01T00:00:00Z,0.3244526,OR & N CA Coast
1938-01-01T00:00:00Z,0.83010906,OR & N CA Coast
1939-01-01T00:00:00Z,-0.5220876,OR & N CA Coast
1940-01-01T00:00:00Z,-0.64129907,OR & N CA Coast
1941-01-01T00:00:00Z,1.2633374,OR & N CA Coast
1942-01-01T00:00:00Z,0.014372781,OR & N CA Coast
1943-01-01T00:00:00Z,-0.2732622,OR & N CA Coast
1944-01-01T00:00:00Z,-0.60345966,OR & N CA Coast
1945-01-01T00:00:00Z,-0.13094255,OR & N CA Coast
1946-01-01T00:00:00Z,0.7230958,OR & N CA Coast
1947-01-01T00:00:00Z,-0.92094225,OR & N CA Coast
1948-01-01T00:00:00Z,-0.491397,OR & N CA Coast
1949-01-01T00:00:00Z,0.7646025,OR & N CA Coast
1950-01-01T00:00:00Z,0.22575118,OR & N CA Coast
1951-01-01T00:00:00Z,-0.007471212,OR & N CA Coast
1952-01-01T00:00:00Z,2.0586061,OR & N CA Coast
1953-01-01T00:00:00Z,0.94684225,OR & N CA Coast
1954-01-01T00:00:00Z,0.7140042,OR & N CA Coast
1955-01-01T00:00:00Z,-0.58981484,OR & N CA Coast
1956-01-01T00:00:00Z,1.3424954,OR & N CA Coast
1957-01-01T00:00:00Z,-0.19979805,OR & N CA Coast
1958-01-01T00:00:00Z,1.8332303,OR & N CA Coast
1959-01-01T00:00:00Z,-0.37526348,OR & N CA Coast
1960-01-01T00:00:00Z,0.06102731,OR & N CA Coast
1961-01-01T00:00:00Z,0.4974213,OR & N CA Coast
1962-01-01T00:00:00Z,0.692437,OR & N CA Coast
1963-01-01T00:00:00Z,-1.2978594,OR & N CA Coast
1964-01-01T00:00:00Z,0.10978332,OR & N CA Coast
1965-01-01T00:00:00Z,-0.7908803,OR & N CA Coast
1966-01-01T00:00:00Z,0.59964645,OR & N CA Coast
1967-01-01T00:00:00Z,0.545945,OR & N CA Coast
1968-01-01T00:00:00Z,-0.2003091,OR & N CA Coast
1969-01-01T00:00:00Z,1.764267,OR & N CA Coast
1970-01-01T00:00:00Z,-0.48018178,OR & N CA Coast
1971-01-01T00:00:00Z,1.077143,OR & N CA Coast
1972-01-01T00:00:00Z,-0.06677195,OR & N CA Coast
1973-01-01T00:00:00Z,0.67742425,OR & N CA Coast
1974-01-01T00:00:00Z,0.43569085,OR & N CA Coast
1975-01-01T00:00:00Z,1.8543646,OR & N CA Coast
1976-01-01T00:00:00Z,-0.11961354,OR & N CA Coast
1977-01-01T00:00:00Z,-1.015494,OR & N CA Coast
1978-01-01T00:00:00Z,-0.1313057,OR & N CA Coast
