time,flow_anomaly_1_day_max,location
UTC,1-day max flow anomaly,
2023-01-01T00:00:00Z,0.2676014,Columbia Glaciated
1981-01-01T00:00:00Z,0.060340717,Columbia Unglaciated
1982-01-01T00:00:00Z,0.81840235,Columbia Unglaciated
1983-01-01T00:00:00Z,0.34333298,Columbia Unglaciated
1984-01-01T00:00:00Z,0.78816223,Columbia Unglaciated
1985-01-01T00:00:00Z,-0.21031693,Columbia Unglaciated
1986-01-01T00:00:00Z,0.94591916,Columbia Unglaciated
1987-01-01T00:00:00Z,-0.35644445,Columbia Unglaciated
1988-01-01T00:00:00Z,-0.69202393,Columbia Unglaciated
1989-01-01T00:00:00Z,-0.37510028,Columbia Unglaciated
1990-01-01T00:00:00Z,-0.4796571,Columbia Unglaciated
1991-01-01T00:00:00Z,-0.037531227,Columbia Unglaciated
1992-01-01T00:00:00Z,-1.0022982,Columbia Unglaciated
1993-01-01T00:00:00Z,0.15693782,Columbia Unglaciated
1994-01-01T00:00:00Z,-1.1232681,Columbia Unglaciated
1995-01-01T00:00:00Z,0.1655132,Columbia Unglaciated
1996-01-01T00:00:00Z,1.849141,Columbia Unglaciated
1997-01-01T00:00:00Z,1.671503,Columbia Unglaciated
1998-01-01T00:00:00Z,-0.11738567,Columbia Unglaciated
1999-01-01T00:00:00Z,0.33046278,Columbia Unglaciated
2000-01-01T00:00:00Z,-0.54067135,Columbia Unglaciated
2001-01-01T00:00:00Z,-1.1873593,Columbia Unglaciated
2002-01-01T00:00:00Z,-0.21946543,Columbia Unglaciated
2003-01-01T00:00:00Z,-0.02343932,Columbia Unglaciated
2004-01-01T00:00:00Z,-0.49689227,Columbia Unglaciated
2005-01-01T00:00:00Z,-0.54861265,Columbia Unglaciated
2006-01-01T00:00:00Z,0.6801358,Columbia Unglaciated
2007-01-01T00:00:00Z,-0.34606928,Columbia Unglaciated
2008-01-01T00:00:00Z,-0.017719008,Columbia Unglaciated
2009-01-01T00:00:00Z,0.36419362,Columbia Unglaciated
