"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Salmon (Chinook (Upper Willamette River ESU) - Willamette Falls esc","Upper Willamette River Chinook Salmon ESU",28403.4922598104,NA,27817.3601571751,1995,1999,"Upper Willamette River Chinook Salmon ESU"
"2","Salmon (Chinook (Upper Willamette River ESU) - Willamette Falls esc","Upper Willamette River Chinook Salmon ESU",66225.3682634049,NA,68323.5552258072,2000,2004,"Upper Willamette River Chinook Salmon ESU"
"3","Salmon (Chinook (Upper Willamette River ESU) - Willamette Falls esc","Upper Willamette River Chinook Salmon ESU",29037.8116042834,NA,26528.7237583511,2005,2009,"Upper Willamette River Chinook Salmon ESU"
"4","Salmon (Chinook (Upper Willamette River ESU) - Willamette Falls esc","Upper Willamette River Chinook Salmon ESU",40045.8313503699,NA,40236.1540398316,2010,2014,"Upper Willamette River Chinook Salmon ESU"
"5","Salmon (Chinook (Upper Willamette River ESU) - Willamette Falls esc","Upper Willamette River Chinook Salmon ESU",32206.5134266262,6919.49366484564,32189.3044585249,2015,2019,"Upper Willamette River Chinook Salmon ESU"
