"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"35","Chinook Salmon (Puget Sound ESU) - South Fork/Mainstem Stillaguamish River","Total",1995,2020,-0.076928397387571,0.00895890055559212,"Puget Sound Chinook Salmon ESU"
"36","Chinook Salmon (Puget Sound ESU) - South Fork/Mainstem Stillaguamish River","Natural",1995,2020,-0.102484925070582,0.0163779883780108,"Puget Sound Chinook Salmon ESU"
"37","Chinook Salmon (Puget Sound ESU) - Suiattle River","Total",1995,2020,0.0152985596451464,0.00917811697114574,"Puget Sound Chinook Salmon ESU"
"38","Chinook Salmon (Puget Sound ESU) - Suiattle River","Natural",1995,2020,0.0157344423065004,0.0098777807461059,"Puget Sound Chinook Salmon ESU"
"39","Chinook Salmon (Puget Sound ESU) - Upper Sauk River","Total",1995,2020,0.076294162779361,0.00627629776547003,"Puget Sound Chinook Salmon ESU"
"40","Chinook Salmon (Puget Sound ESU) - Upper Sauk River","Natural",1995,2020,0.0781785823695714,0.00673817120438023,"Puget Sound Chinook Salmon ESU"
"41","Chinook Salmon (Puget Sound ESU) - Upper Skagit River","Total",1995,2020,0.00433598974989468,0.00879624996531469,"Puget Sound Chinook Salmon ESU"
"42","Chinook Salmon (Puget Sound ESU) - Upper Skagit River","Natural",1995,2020,0.0106613449659255,0.00791941545802895,"Puget Sound Chinook Salmon ESU"
"43","Chinook Salmon (Puget Sound ESU) - White River","Total",1995,2020,0.0981171346038397,0.00892462082222001,"Puget Sound Chinook Salmon ESU"
"44","Chinook Salmon (Puget Sound ESU) - White River","Natural",1995,2020,0.034272207399931,0.0189227854572783,"Puget Sound Chinook Salmon ESU"
