"","name","trend","Species","ESU","pop"
"35","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Middle Fork John Day spring Chinook salmon",0.00991000475152286,"Chinook","Chinook Salmon (Mid-Columbia River Spring-Run)","Middle Fork John Day spring Chinook salmon"
"36","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Naches Spring Chinook-",-0.0194447521067434,"Chinook","Chinook Salmon (Mid-Columbia River Spring-Run)","Naches Spring Chinook-"
"37","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_North Fork John Day spring Chinook salmon",-0.00928996193733158,"Chinook","Chinook Salmon (Mid-Columbia River Spring-Run)","North Fork John Day spring Chinook salmon"
"38","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Upper John Day spring Chinook salmon",0.0686731049774431,"Chinook","Chinook Salmon (Mid-Columbia River Spring-Run)","Upper John Day spring Chinook salmon"
"39","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Upper Yakima River Spring Chinook-",0.0321955745739734,"Chinook","Chinook Salmon (Mid-Columbia River Spring-Run)","Upper Yakima River Spring Chinook-"
"40","Chinook_Deschutes River Summer-Fall-run Chinook Salmon_Deschutes Fall Chinook",0.00747869575518385,"Chinook","Deschutes River Summer-Fall-run Chinook Salmon","Deschutes Fall Chinook"
"41","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Clatskanie River Fall-run",-0.0359780723839951,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Clatskanie River Fall-run"
"42","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run",-0.0129003795522803,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run"
"43","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Elochoman River Fall-run",-0.0730876250311692,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Elochoman River Fall-run"
"44","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Grays River Fall-run",0.0969633063497471,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Grays River Fall-run"
