"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"45","Upper Dungeness Pink-","Odd-year Pink",65982.0433350091,65982.0433350091,64842.1439497491,9,10,"Odd-year Pink"
"46","Dosewallips Pink-","Odd-year Pink",39797.822385862,39797.822385862,42681.1706962215,11,12,"Odd-year Pink"
"47","Duckabush Pink-","Odd-year Pink",31479.1101021385,31479.1101021385,30931.8290438829,11,12,"Odd-year Pink"
"48","Hamma Hamma Pink-","Odd-year Pink",39997.3688385301,39997.3688385301,42838.2093113146,11,12,"Odd-year Pink"
"49","Lower Dungeness Pink-","Odd-year Pink",27365.925442637,27365.925442637,25403.1085696219,11,12,"Odd-year Pink"
"50","Puyallup Pink-","Odd-year Pink",260822.23010708,260822.23010708,231197.577634369,11,12,"Odd-year Pink"
"51","Skagit Pink-","Odd-year Pink",399758.783724477,115567.350806917,NA,11,12,"Odd-year Pink"
"52","Snohomish Odd-Year Pink-","Odd-year Pink",189870.856276579,189870.856276579,149631.681090603,11,12,"Odd-year Pink"
"53","Stillaguamish Pink-","Odd-year Pink",49433.8070663236,49433.8070663236,44248.5630953141,11,12,"Odd-year Pink"
"54","Upper Dungeness Pink-","Odd-year Pink",53663.1746138045,53663.1746138045,51803.8023121855,11,12,"Odd-year Pink"
