"","ESU","trend","stderr","Status","Region","Domain","abn_type","shape","n.tot","pos.x","n.pos","pos.y","n","Species","1995-1999","2016-2020","delta"
"35","Snake River Basin Steelhead DPS",-0.0065099280246319,0.0171823096289119,"T","PNW","IC","abs",19,5,1,1,0,4,"Steelhead",8586.51743880791,6106.98568054605,-0.288770363064225
"36","Snake River Fall-run Chinook Salmon ESU",0.153171012194133,0.0208144334042538,"T","PNW","IC","abs",19,1,1,1,NA,NA,"Chinook",987.051497213208,18156.4325661661,17.3946152935567
"37","Snake River Sockeye Salmon ESU",0.120740688466478,0.0130165708574937,"E","PNW","IC","abs",19,1,1,1,NA,NA,"Sockeye",73.8308971918176,792.518810127172,9.73424325412374
"38","Snake River Spring-Summer-run Chinook Salmon ESU",0.0393983748968968,0.0198295618915668,"T","PNW","IC","abs",19,27,1,24,0,3,"Chinook",2561.46522877352,6048.29144314635,1.36126236468273
"39","So Oregon - Northern CA coho",0.0118696749763534,0.0151139437304903,"T","PNW","NC","index",19,5,1,2,0,3,"Coho",4959.09456164933,9054.50732899985,0.82583881320231
"40","Southern Oregon Northern California Chinook salmon",-0.0234404084267213,0.01107279317979,"U","PNW","NC","abs",1,8,NA,NA,0,8,"Chinook",67002.5164216406,45648.8698197297,-0.318699173439015
"41","Southwest Washington Steelhead",-0.00961329356618467,0.00763609944957132,"U","PNW","NC","abs",1,17,1,4,0,13,"Steelhead",11860.6379659159,11374.8757614451,-0.0409558242875933
"42","Steelhead (Klamath Mountains Province)",-0.00904294951563785,0.0103712285486649,"U","PNW","NC","index",1,1,NA,NA,0,1,"Steelhead",7283.3549726269,9567.95010664996,0.313673457164902
"43","Steelhead (Oregon Coast)",0.0159768363885534,0.00742783050818582,"U","PNW","NC","abs",1,6,1,4,0,2,"Steelhead",65769.3313610306,104622.861873973,0.590754531160761
"44","Steelhead (South-central California Coast DPS)",-0.172172143191381,0.038358397583871,"T","CA","CA","index",19,1,NA,NA,0,1,"Steelhead",NA,NA,NA
"45","Steelhead (Southern California Coast DPS)",NA,NA,"E","CA","CA","index",19,1,NA,NA,NA,NA,"Steelhead",NA,NA,NA
"46","Steelhead Salmon (Upper Willamette River)",-0.0221313551151631,0.0124336803719974,"T","PNW","LC","abs",19,1,NA,NA,0,1,"Steelhead",4082.24038521569,2854.26956349723,-0.300808062691678
"47","Up. Klamath - Trinity River Chinook",-0.0272059110108854,0.0127032254802208,"U","CA","CA","abs",1,8,1,2,0,6,"Chinook",61938.2889857436,26139.1171548979,-0.57798128455059
"48","Upper Columbia River Spring-run Chinook Salmon ESU",0.0627445965288067,0.0236218710674933,"E","PNW","IC","abs",19,3,1,3,NA,NA,"Chinook",340.506272155712,1768.64987379938,4.1941770781555
"49","Upper Columbia River Steelhead DPS",0.00547409132233939,0.0175009317089772,"T","PNW","IC","abs",19,4,1,3,0,1,"Steelhead",2580.24349130115,3164.13947052569,0.22629491410134
"50","Upper Columbia River Summer and Fall Run Chinook",0.022087713214369,0.00954666566364893,"U","PNW","IC","abs",1,11,1,6,0,5,"Chinook",65595.6705740631,98524.4445877446,0.501996148915072
"51","Upper Willamette River Chinook Salmon ESU",-0.00561495686617615,0.0118971592435311,"T","PNW","LC","abs",19,1,NA,NA,0,1,"Chinook",27927.8200844408,28829.9505917067,0.0323022170917144
"52","Washington Coast Chinook",-0.00135945989684942,0.00459727464875532,"U","PNW","NC","abs",1,31,1,12,0,19,"Chinook",43527.1728509272,41203.7739404398,-0.0533781258535811
"53","Washington Coast Coho",-0.00689789504325981,0.0143197241022088,"U","PNW","NC","abs",1,13,1,6,0,7,"Coho",54305.7358166062,49444.4753595059,-0.0895165194615365
