"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",0.00654244324720498,0.00529706102939962,0.0830973396163176,-0.160903647648031,-0.0467947811663037,0.00506552690654051,0.0622969807105749,0.16539256413484,246.095848036482,1.01996196130328
"sigma2_R",0.0874341915876664,0.00366327983389347,0.0639289157654184,0.0128873267191203,0.0408057108049383,0.0740967720461133,0.117040043299153,0.247347910667229,304.547113288072,1.01761101352735
"sigma2_Q",0.157708861698998,0.00594929952213077,0.0962515968145544,0.026420284561228,0.087292714402535,0.140790269795042,0.205628128741802,0.391714733515019,261.748509694962,1.02066616307142
"theta",0.0156319633228986,0.0131253036735881,0.57355975674795,-0.943688430806114,-0.472063917064363,0.0101072887363028,0.51154522057793,0.964451780044699,1909.58336737993,1.00183567415212
