"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"29","Okanogan Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",3573.77963718208,1786.88981859104,4013.9990034875,2005,2009,"Upper Columbia River Summer and Fall Run Chinook"
"30","Upper Gorge (Columbia) Late Fall (Bright) Chinook-Little White Salmon River (Drano) Late Fall (Bright) Chinook","Upper Columbia River Summer and Fall Run Chinook",585.532293179457,NA,298.929310534318,2005,2009,"Upper Columbia River Summer and Fall Run Chinook"
"31","Upper Gorge (Columbia) Late Fall (Bright) Chinook-Wind River Late Fall (Bright) Chinook","Upper Columbia River Summer and Fall Run Chinook",221.222748366125,221.222748366125,161.745258339654,2005,2009,"Upper Columbia River Summer and Fall Run Chinook"
"32","Wenatchee Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",8285.71829685568,6192.91491975773,9539.46063113532,2005,2009,"Upper Columbia River Summer and Fall Run Chinook"
"33","Yakima River Bright Fall Chinook-","Upper Columbia River Summer and Fall Run Chinook",413.265653693547,NA,288.785414067431,2005,2009,"Upper Columbia River Summer and Fall Run Chinook"
"34","Big White Salmon River Late Fall (Bright) Chinook-","Upper Columbia River Summer and Fall Run Chinook",2990.82955913117,1346.52240594828,NA,2010,2014,"Upper Columbia River Summer and Fall Run Chinook"
"35","Hanford Reach Fall Chinook-","Upper Columbia River Summer and Fall Run Chinook",96099.9514692311,NA,NA,2010,2014,"Upper Columbia River Summer and Fall Run Chinook"
"36","Klickitat Fall (Tule) Chinook-","Upper Columbia River Summer and Fall Run Chinook",244.441754793323,NA,NA,2010,2014,"Upper Columbia River Summer and Fall Run Chinook"
"37","Klickitat Late Fall (Bright) Chinook-","Upper Columbia River Summer and Fall Run Chinook",7238.14402816475,NA,8420.13960052068,2010,2014,"Upper Columbia River Summer and Fall Run Chinook"
"38","Lake Chelan Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",14.7447397709038,NA,NA,2010,2014,"Upper Columbia River Summer and Fall Run Chinook"
