"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",4254.65603713069,4254.65603713069,3961.16578810561,1995,1999,"Steelhead Salmon (Upper Willamette River)"
"2","Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",9888.21021142589,9888.21021142589,10293.3544870869,2000,2004,"Steelhead Salmon (Upper Willamette River)"
"3","Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",5717.72715220283,5717.72715220283,5027.98563038141,2005,2009,"Steelhead Salmon (Upper Willamette River)"
"4","Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",6160.05775847337,6160.05775847337,6430.51215972756,2010,2014,"Steelhead Salmon (Upper Willamette River)"
"5","Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",3000.7031967595,3000.7031967595,2628.17124351877,2015,2019,"Steelhead Salmon (Upper Willamette River)"
