"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.0109076234575671,0.00374748980363275,0.115670935237711,-0.23949524469876,-0.0881687440745461,-0.0105426020795267,0.0657715195110942,0.217409674437435,952.725028078082,1.00652323454378
"mu[2]",0.000350575838221328,0.00374618103848816,0.116121890449767,-0.232174551860772,-0.0766854841619153,0.00106753249987676,0.0782884696916758,0.227801230537205,960.839110055399,1.00602198140089
"mu[3]",0.0808786505930073,0.00370424421019601,0.115469703590884,-0.146742843831798,0.00331872862613493,0.0810560331884677,0.158435773542201,0.308047196183163,971.710466177558,1.00631319504846
"mu[4]",-0.0158121897938603,0.00372804379856537,0.115899111694981,-0.2455581835985,-0.0932248919884909,-0.0157977422243459,0.0626270446135545,0.211472596035876,966.491864590967,1.00631104572785
"mu[5]",-0.00368963833734784,0.00371160491619841,0.115826531246047,-0.233814393954424,-0.0809864204559353,-0.00384143385956222,0.0743075385358009,0.222404068267357,973.851232258305,1.00616893267114
"mu[6]",-0.0112835008361603,0.00374510759939292,0.115600254240473,-0.238551065735531,-0.0885466245377614,-0.0112128092930563,0.0665553855651028,0.216309375042855,952.771985215995,1.00667707743835
"mu[7]",0.0314174882465471,0.00371653534679137,0.115372086685101,-0.196862278087132,-0.0462375590830039,0.0312251130783322,0.108578940069606,0.259501545679198,963.662501871771,1.00593756958982
"mu[8]",0.01418557147645,0.00375920152984174,0.118216527921353,-0.218364785581656,-0.0655196621568687,0.0138103377333502,0.0935843421021101,0.246955355036332,988.9291579937,1.00610120088557
"mu[9]",0.0562189755625653,0.00373544287679315,0.11565046831298,-0.170379922823649,-0.0213380731644781,0.0559073154272108,0.133388823258278,0.286507718873058,958.540776401726,1.00658932909163
"mu[10]",-0.0119444715853222,0.00370221393757397,0.115947888818271,-0.240748730423256,-0.0894694979614139,-0.012270308686299,0.0660291057359263,0.216514864792584,980.85016144333,1.00638145714512
"mu[11]",-0.0616098647256276,0.00371171490581147,0.11526323519717,-0.288822636834697,-0.139007896048638,-0.06152914106899,0.0155594608262039,0.166236783056465,964.344900710512,1.0067279114039
"mu[12]",0.0611119376020487,0.00374327126576116,0.116307793129169,-0.169175519391288,-0.0161503040749407,0.0612208872943965,0.138781072075471,0.289133892104468,965.417194700451,1.00656666117688
"mu[13]",0.0548080982724996,0.0037459614332049,0.11620878468273,-0.173915889534899,-0.0230063767275713,0.0548778162042776,0.132478089512468,0.285267036811302,962.390473058889,1.00630506400429
"mu[14]",-0.0151905740680059,0.00372292871126401,0.115995601298451,-0.244732614324769,-0.0920843299212116,-0.0149185499007809,0.0624632997557494,0.21357503206123,970.763861884617,1.00666736678252
"mu[15]",0.000530822033492468,0.00370409765738189,0.11580602155059,-0.2285971944561,-0.076673233897359,0.000615082438241685,0.0779073672932975,0.22811813120131,977.456474087164,1.00649923781892
"sigma2_R",0.198676131119918,0.000266592359070309,0.0229522250580516,0.157043003269447,0.182818926892911,0.197442832238548,0.213324762840226,0.247508871054071,7412.32054368365,1.00077281098076
"sigma2_Q",0.379961862176441,0.00108229268318992,0.105554184499037,0.225141497018241,0.306514155854047,0.3632266332809,0.434094687498873,0.631888963887128,9511.77272608887,1.00037640400606
"theta",0.79805998578714,0.000871472470509265,0.0646171699518238,0.65595284616599,0.757673984382905,0.804514431910589,0.84482067446792,0.906011529965322,5497.79474137813,1.00051442590513
