,name,run
68,Chinook_Oregon Coast Chinook salmon_Siletz fall Chinook,late
69,Chinook_Oregon Coast Chinook salmon_Siuslaw fall Chinook,late
70,Chinook_Oregon Coast Chinook salmon_Sixes fall Chinook,late
71,Chinook_Oregon Coast Chinook salmon_South.Umpqua spring Chinook,early
72,Chinook_Oregon Coast Chinook salmon_Tillamook fall Chinook,late
73,Chinook_Oregon Coast Chinook salmon_Umpqua fall Chinook,late
74,Chinook_Oregon Coast Chinook salmon_Yaquina fall Chinook,late
75,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Cascade River,early
76,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Cedar River,late
77,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Dungeness River,early
78,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Elwha River,late
79,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Green River,late
80,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Lower Sauk River,late
81,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Lower Skagit River,late
82,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Lower/North Fork/Middle Fork Nooksack,early
83,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Mid-Hood Canal,late
84,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Nisqually River,late
85,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - North Fork Stillaguamish River,late
86,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Puyallup River,late
87,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Sammamish River,late
88,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Skokomish River,late
89,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Skykomish River,late
90,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Snoqualmie River,late
91,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - South Fork Nooksack River,early
92,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - South Fork/Mainstem Stillaguamish River,late
93,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Suiattle River,early
94,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Upper Sauk River,early
95,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Upper Skagit River,late
96,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - White River,early
97,Chinook_Sacramento River Winter-run Chinook Salmon_sacramentoriv.chin.win,early
98,Chinook_Snake River Fall-run Chinook Salmon ESU_Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,late
99,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,early
100,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Big Creek,early
101,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Camas Creek,early
102,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,early
103,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek,early
104,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River,early
105,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River,early
106,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,early
107,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,early
108,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River,early
109,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek,early
110,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Lostine River,early
111,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek,early
112,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River above Indian Creek,early
113,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River below Indian Creek,early
114,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River,early
115,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - North Fork Salmon River,early
116,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River,early
117,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Lower Mainstem below Redfish Lake,early
118,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Upper Mainstem above Redfish Lake,early
119,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Secesh River,early
