"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",0.00168807082736393,0.00128133701477596,0.0964397451902924,-0.188090567348206,-0.0614892271361535,0.00128810336631706,0.0645228899112235,0.1926456470046,5664.81021265549,1.00156036919472
"mu[2]",0.0244132197641578,0.00126276661534524,0.0961560395855659,-0.164105945535858,-0.0388041290268421,0.0245671102340325,0.0876860089920029,0.214332776105068,5798.38371483155,1.00176438549054
"mu[3]",0.00260258779654534,0.00126394315940599,0.0959787924173116,-0.186581233613746,-0.0602510206043898,0.00257823782996898,0.065680970612509,0.192466148210306,5766.27665649274,1.00152623300551
"mu[4]",-0.0434842854287839,0.0012791030837157,0.0968278839960553,-0.234922494582459,-0.105999133873137,-0.0432245795936086,0.0198066422390251,0.147031393672712,5730.46402604689,1.0019736179231
"sigma2_R",0.0793401258620969,0.000489218030205296,0.0261367801365275,0.0365699034948278,0.0605523179561453,0.0764168016970494,0.0951189021462691,0.13784547406126,2854.29764941481,1.00174072074279
"sigma2_Q",0.233532603691673,0.000794382484423493,0.075906609014514,0.117765595743368,0.180218473708518,0.222699677547016,0.274650500814847,0.410627036190829,9130.61144585244,1.0004129004635
"theta",0.765077001358556,0.00218261117085285,0.117938346935868,0.505236970722225,0.690901155507919,0.776874853758435,0.852434343040488,0.957297346372188,2919.82837838825,1.00087632719324
