"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"44","Sixes fall Chinook","Oregon Coast Chinook salmon",1419.65840576378,NA,1287.32440629223,2005,2009,"Oregon Coast Chinook salmon"
"45","South.Umpqua spring Chinook","Oregon Coast Chinook salmon",148.605025020023,NA,153.342257047332,2005,2009,"Oregon Coast Chinook salmon"
"46","Tillamook fall Chinook","Oregon Coast Chinook salmon",6186.75004508746,NA,6911.43601957012,2005,2009,"Oregon Coast Chinook salmon"
"47","Umpqua fall Chinook","Oregon Coast Chinook salmon",5554.88562924754,NA,4570.32933093269,2005,2009,"Oregon Coast Chinook salmon"
"48","Yaquina fall Chinook","Oregon Coast Chinook salmon",2814.74156217314,NA,2590.97185756956,2005,2009,"Oregon Coast Chinook salmon"
"49","Alsea fall Chinook","Oregon Coast Chinook salmon",9927.02614764414,11157.0781204557,9462.64242661639,2010,2014,"Oregon Coast Chinook salmon"
"50","Coos fall Chinook","Oregon Coast Chinook salmon",10780.6288147707,6731.71121159664,10609.3542080204,2010,2014,"Oregon Coast Chinook salmon"
"51","Coquille fall Chinook","Oregon Coast Chinook salmon",11982.5473943548,10358.2200357685,11991.4372360313,2010,2014,"Oregon Coast Chinook salmon"
"52","Elk fall Chinook","Oregon Coast Chinook salmon",5666.42054996743,2758.35032134098,5332.27593245606,2010,2014,"Oregon Coast Chinook salmon"
"53","Floras fall Chinook","Oregon Coast Chinook salmon",202.605080838884,NA,160.407635764373,2010,2014,"Oregon Coast Chinook salmon"
"54","Nehalem fall Chinook","Oregon Coast Chinook salmon",12637.2398769858,15188.6254886691,12189.9756155006,2010,2014,"Oregon Coast Chinook salmon"
"55","Nestucca fall Chinook","Oregon Coast Chinook salmon",6057.90455473074,8461.27581283114,6657.3491265139,2010,2014,"Oregon Coast Chinook salmon"
"56","North.Umpqua spring Chinook","Oregon Coast Chinook salmon",15288.9193103816,7283.69247312656,15382.6216191532,2010,2014,"Oregon Coast Chinook salmon"
"57","Salmon fall Chinook","Oregon Coast Chinook salmon",3662.42941602854,1215.5371911981,3709.98190309565,2010,2014,"Oregon Coast Chinook salmon"
"58","Siletz fall Chinook","Oregon Coast Chinook salmon",9536.24783301759,14624.4105922499,10232.7524706127,2010,2014,"Oregon Coast Chinook salmon"
"59","Siuslaw fall Chinook","Oregon Coast Chinook salmon",13762.4995323712,15922.6410623995,14318.3238458411,2010,2014,"Oregon Coast Chinook salmon"
"60","Sixes fall Chinook","Oregon Coast Chinook salmon",3198.84365640096,NA,2768.19546895906,2010,2014,"Oregon Coast Chinook salmon"
"61","South.Umpqua spring Chinook","Oregon Coast Chinook salmon",263.01359548424,NA,253.141431117804,2010,2014,"Oregon Coast Chinook salmon"
"62","Tillamook fall Chinook","Oregon Coast Chinook salmon",8335.30669169491,10922.3153224116,7922.27724483415,2010,2014,"Oregon Coast Chinook salmon"
"63","Umpqua fall Chinook","Oregon Coast Chinook salmon",15795.6995956045,21037.4934674009,15316.1438511469,2010,2014,"Oregon Coast Chinook salmon"
"64","Yaquina fall Chinook","Oregon Coast Chinook salmon",6402.33309795871,10646.8276540567,6281.82951378385,2010,2014,"Oregon Coast Chinook salmon"
"65","Alsea fall Chinook","Oregon Coast Chinook salmon",8843.54746811335,8708.35905819489,8776.91648227926,2015,2019,"Oregon Coast Chinook salmon"
"66","Coos fall Chinook","Oregon Coast Chinook salmon",5851.43855113189,4213.47833432255,5609.94390726258,2015,2019,"Oregon Coast Chinook salmon"
