"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Total",1995,2020,0.0443143255060425,0.0153690788125519,"Hood Canal Summer-run Chum Salmon ESU"
"2","Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Natural",1995,2020,0.061725847810743,0.0165570964808069,"Hood Canal Summer-run Chum Salmon ESU"
"3","Chum Salmon (Hood Canal Summer-run ESU) - Strait of Juan de Fuca","Total",1995,2020,0.0795520908441459,0.0198272213033122,"Hood Canal Summer-run Chum Salmon ESU"
"4","Chum Salmon (Hood Canal Summer-run ESU) - Strait of Juan de Fuca","Natural",1995,2020,0.096024315279019,0.0205366902050463,"Hood Canal Summer-run Chum Salmon ESU"
