"","ESU","name","trend","stderr","Species.x","Number","Species.y","DPS_short","DPS_WCR","Status","Region","Domain","abn_type","org","col","shape"
"37","Snake River Sockeye Salmon ESU","Sockeye_Snake River Sockeye Salmon ESU",0.120740688466478,0.0130165708574937,"Sockeye",31,"Sockeye","Snake River","Sockeye Salmon (Snake River)","E","PNW","IC","abs","E:Sockeye:Snake River","#66A61E",19
"27","Ozette Lake Sockeye Salmon ESU","Sockeye_Ozette Lake Sockeye Salmon ESU",0.0507887096894837,0.00926922243961932,"Sockeye",32,"Sockeye","Ozette Lake","Sockeye Salmon (Ozette Lake) ","T","PNW","NC","abs","T:Sockeye:Ozette Lake","#66A61E",19
"1","Baker River Sockeye","Sockeye_Baker River Sockeye",0.0684729646653881,0.00799273559437257,"Sockeye",33,"Sockeye","Baker River","Sockeye Salmon (Baker River)","U","PNW","NC","abs","U:Sockeye:Baker River","#66A61E",1
"2","Big Bear Creek (provisional) Sockeye","Sockeye_Big Bear Creek (provisional) Sockeye",-0.123324377178593,0.00578836443841831,"Sockeye",34,"Sockeye","Big Bear Creek","Big Bear Creek (Lake Washington)","U","PNW","NC","abs","U:Sockeye:Big Bear Creek","#66A61E",1
"14","Lake Pleasant Sockeye","Sockeye_Lake Pleasant Sockeye",0.00111300859669423,0.0136675762337753,"Sockeye",35,"Sockeye","Lake Pleasant","Sockeye Salmon (Lake Pleasant)","U","PNW","NC","abs","U:Sockeye:Lake Pleasant","#66A61E",1
"15","Lake Wenatchee Sockeye","Sockeye_Lake Wenatchee Sockeye",0.0776353073762378,0.00898775778915426,"Sockeye",36,"Sockeye","Lake Wenatchee","Sockeye Salmon (Lake Wenatchee)","U","PNW","NC","abs","U:Sockeye:Lake Wenatchee","#66A61E",1
"22","Okanogan River Sockeye","Sockeye_Okanogan River Sockeye",0.122771138833424,0.0108450031885651,"Sockeye",37,"Sockeye","Okanogan River","Sockeye Salmon (Okanogan River)","U","PNW","NC","abs","U:Sockeye:Okanogan River","#66A61E",1
"33","Quinault Lake Sockeye","Sockeye_Quinault Lake Sockeye",-0.0095383652938394,0.0258701979509301,"Sockeye",38,"Sockeye","Quinault Lake","Sockeye Salmon (Quinault Lake)","U","PNW","NC","abs","U:Sockeye:Quinault Lake","#66A61E",1
"45","Steelhead (Southern California Coast DPS)",NA,NA,NA,NA,39,"Steelhead","Southern California Coast","Steelhead (Southern California Coast DPS)","E","CA","CA","index","E:Steelhead:Southern California Coast","#E6AB02",19
"3","California Central Valley Steelhead","Steelhead_California Central Valley Steelhead",0.00565732736389329,0.00778723954372073,"Steelhead",40,"Steelhead","California Central Valley","Steelhead (Central Valley DPS)","T","CA","CA","index","T:Steelhead:California Central Valley","#E6AB02",19
"6","Central California Coast steelhead","Steelhead_Central California Coast steelhead",-0.0526476229330384,0.0171543064789946,"Steelhead",41,"Steelhead","Central California Coast","Steelhead (California Central Coast DPS)","T","CA","CA","index","T:Steelhead:Central California Coast","#E6AB02",19
"18","Lower Columbia River Steelhead DPS","Steelhead_Lower Columbia River Steelhead DPS",0.0224626179162617,0.00986449842983163,"Steelhead",42,"Steelhead","Lower Columbia River","Steelhead (Lower Columbia River DPS) ","T","PNW","LC","index","T:Steelhead:Lower Columbia River","#E6AB02",19
"19","Middle Columbia River Steelhead DPS","Steelhead_Middle Columbia River Steelhead DPS",0.00529458497419132,0.0122698919383523,"Steelhead",43,"Steelhead","Middle Columbia River","Steelhead (Middle Columbia River DPS) ","T","PNW","IC","abs","T:Steelhead:Middle Columbia River","#E6AB02",19
"20","Northern California steelhead","Steelhead_Northern California steelhead",-0.0270147817887047,0.00735788451657679,"Steelhead",44,"Steelhead","Northern California","Steelhead (Northern California Coast DPS)","T","CA","CA","index","T:Steelhead:Northern California","#E6AB02",19
"30","Puget Sound Steelhead DPS","Steelhead_Puget Sound Steelhead DPS",-0.0152966529309155,0.00771617674529122,"Steelhead",45,"Steelhead","Puget Sound","Steelhead Salmon (Puget Sound) ","T","PNW","NC","index","T:Steelhead:Puget Sound","#E6AB02",19
"35","Snake River Basin Steelhead DPS","Steelhead_Snake River Basin Steelhead DPS",-0.0065099280246319,0.0171823096289119,"Steelhead",46,"Steelhead","Snake River Basin","Steelhead (Snake River Basin DPS) ","T","PNW","IC","abs","T:Steelhead:Snake River Basin","#E6AB02",19
"44","Steelhead (South-central California Coast DPS)","Steelhead_Steelhead (South-central California Coast DPS)",-0.172172143191381,0.038358397583871,"Steelhead",47,"Steelhead","South-central California Coast","Steelhead (South-central California Coast DPS)","T","CA","CA","index","T:Steelhead:South-central California Coast","#E6AB02",19
"49","Upper Columbia River Steelhead DPS","Steelhead_Upper Columbia River Steelhead DPS",0.00547409132233939,0.0175009317089772,"Steelhead",48,"Steelhead","Upper Columbia River","Steelhead (Upper Columbia River DPS) ","T","PNW","IC","abs","T:Steelhead:Upper Columbia River","#E6AB02",19
"46","Steelhead Salmon (Upper Willamette River)","Steelhead_Steelhead Salmon (Upper Willamette River)",-0.0221313551151631,0.0124336803719974,"Steelhead",49,"Steelhead","Upper Willamette River","Steelhead (Upper Willamette River) ","T","PNW","LC","abs","T:Steelhead:Upper Willamette River","#E6AB02",19
"42","Steelhead (Klamath Mountains Province)","Steelhead_Steelhead (Klamath Mountains Province)",-0.00904294951563785,0.0103712285486649,"Steelhead",50,"Steelhead","Klamath Mountains Province","Steelhead (Klamath Mountains Province)","U","PNW","NC","index","U:Steelhead:Klamath Mountains Province","#E6AB02",1
"24","Olympic Peninsula Steelhead","Steelhead_Olympic Peninsula Steelhead",-0.0193404573854745,0.00506791671549124,"Steelhead",51,"Steelhead","Olympic Peninsula","Steelhead (Olympic Peninsula)","U","PNW","NC","index","U:Steelhead:Olympic Peninsula","#E6AB02",1
"43","Steelhead (Oregon Coast)","Steelhead_Steelhead (Oregon Coast)",0.0159768363885534,0.00742783050818582,"Steelhead",52,"Steelhead","Oregon Coast","Steelhead (Oregon Coast)","U","PNW","NC","abs","U:Steelhead:Oregon Coast","#E6AB02",1
"41","Southwest Washington Steelhead","Steelhead_Southwest Washington Steelhead",-0.00961329356618467,0.00763609944957132,"Steelhead",53,"Steelhead","Southwest Washington","Steelhead (Southwest Washington)","U","PNW","NC","abs","U:Steelhead:Southwest Washington","#E6AB02",1
