,name,trend,Species,ESU,pop,run
37,Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_North Fork John Day spring Chinook salmon,-0.009289962,Chinook,Chinook Salmon (Mid-Columbia River Spring-Run),North Fork John Day spring Chinook salmon,early
38,Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Upper John Day spring Chinook salmon,0.068673105,Chinook,Chinook Salmon (Mid-Columbia River Spring-Run),Upper John Day spring Chinook salmon,early
39,Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Upper Yakima River Spring Chinook-,0.032195575,Chinook,Chinook Salmon (Mid-Columbia River Spring-Run),Upper Yakima River Spring Chinook-,early
40,Chinook_Deschutes River Summer-Fall-run Chinook Salmon_Deschutes Fall Chinook,0.007478696,Chinook,Deschutes River Summer-Fall-run Chinook Salmon,Deschutes Fall Chinook,late
41,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Clatskanie River Fall-run,-0.035978072,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Clatskanie River Fall-run,late
42,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,-0.01290038,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,late
43,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Elochoman River Fall-run,-0.073087625,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Elochoman River Fall-run,late
44,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Grays River Fall-run,0.096963306,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Grays River Fall-run,late
45,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,-0.00407573,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,late
46,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Kalama River Spring-run,-0.065783633,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Kalama River Spring-run,early
