,name,trend,Species,ESU,pop,run
127,Chinook_Southern Oregon Northern California Chinook salmon_Chetco fall Chinook,-0.039002939,Chinook,Southern Oregon Northern California Chinook salmon,Chetco fall Chinook,late
128,Chinook_Southern Oregon Northern California Chinook salmon_Hunter fall Chinook,-0.057463785,Chinook,Southern Oregon Northern California Chinook salmon,Hunter fall Chinook,late
129,Chinook_Southern Oregon Northern California Chinook salmon_lower Rogue fall Chinook,-0.029361441,Chinook,Southern Oregon Northern California Chinook salmon,lower Rogue fall Chinook,late
130,Chinook_Southern Oregon Northern California Chinook salmon_Pistol fall Chinook,-0.052607403,Chinook,Southern Oregon Northern California Chinook salmon,Pistol fall Chinook,late
131,Chinook_Southern Oregon Northern California Chinook salmon_Rogue fall Chinook,-0.022613872,Chinook,Southern Oregon Northern California Chinook salmon,Rogue fall Chinook,late
132,Chinook_Southern Oregon Northern California Chinook salmon_Rogue spring Chinook,-0.002821861,Chinook,Southern Oregon Northern California Chinook salmon,Rogue spring Chinook,early
133,Chinook_Southern Oregon Northern California Chinook salmon_Winchuck fall Chinook,-0.022055154,Chinook,Southern Oregon Northern California Chinook salmon,Winchuck fall Chinook,late
134,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_boguscrk.chinook.fall,-0.081219749,Chinook,Up. Klamath - Trinity River Chinook,boguscrk.chinook.fall,late
135,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_salmonriv.chinook.spring,-0.035226294,Chinook,Up. Klamath - Trinity River Chinook,salmonriv.chinook.spring,early
136,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_scottriv.chinook.fall,-0.038536283,Chinook,Up. Klamath - Trinity River Chinook,scottriv.chinook.fall,late
137,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_shastariv.chinook.fall,0.040445878,Chinook,Up. Klamath - Trinity River Chinook,shastariv.chinook.fall,late
138,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_southforktrinity.chinook.fall,-0.098407621,Chinook,Up. Klamath - Trinity River Chinook,southforktrinity.chinook.fall,late
139,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_upperklamath.chinook.fall,0.023946296,Chinook,Up. Klamath - Trinity River Chinook,upperklamath.chinook.fall,late
140,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_uppertrinity.chinook.fall,-0.038118547,Chinook,Up. Klamath - Trinity River Chinook,uppertrinity.chinook.fall,late
141,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_uppertrinity.chinook.spring,-0.052297214,Chinook,Up. Klamath - Trinity River Chinook,uppertrinity.chinook.spring,early
142,Chinook_Upper Columbia River Spring-run Chinook Salmon ESU_Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River,0.034398145,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU,Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River,early
143,Chinook_Upper Columbia River Spring-run Chinook Salmon ESU_Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River,0.058180866,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU,Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River,early
144,Chinook_Upper Columbia River Spring-run Chinook Salmon ESU_Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,0.064696911,Chinook,Upper Columbia River Spring-run Chinook Salmon ESU,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,early
145,Chinook_Upper Columbia River Summer and Fall Run Chinook_Big White Salmon River Late Fall (Bright) Chinook-,0.027953651,Chinook,Upper Columbia River Summer and Fall Run Chinook,Big White Salmon River Late Fall (Bright) Chinook-,late
146,Chinook_Upper Columbia River Summer and Fall Run Chinook_Hanford Reach Fall Chinook-,0.030972311,Chinook,Upper Columbia River Summer and Fall Run Chinook,Hanford Reach Fall Chinook-,late
147,Chinook_Upper Columbia River Summer and Fall Run Chinook_Klickitat Fall (Tule) Chinook-,-0.158004185,Chinook,Upper Columbia River Summer and Fall Run Chinook,Klickitat Fall (Tule) Chinook-,late
148,Chinook_Upper Columbia River Summer and Fall Run Chinook_Klickitat Late Fall (Bright) Chinook-,-0.042286281,Chinook,Upper Columbia River Summer and Fall Run Chinook,Klickitat Late Fall (Bright) Chinook-,late
149,Chinook_Upper Columbia River Summer and Fall Run Chinook_Lake Chelan Summer Chinook-,-0.087603775,Chinook,Upper Columbia River Summer and Fall Run Chinook,Lake Chelan Summer Chinook-,early
150,Chinook_Upper Columbia River Summer and Fall Run Chinook_Methow Summer Chinook-,0.008214658,Chinook,Upper Columbia River Summer and Fall Run Chinook,Methow Summer Chinook-,early
151,Chinook_Upper Columbia River Summer and Fall Run Chinook_Okanogan Summer Chinook-,0.000629547,Chinook,Upper Columbia River Summer and Fall Run Chinook,Okanogan Summer Chinook-,early
152,Chinook_Upper Columbia River Summer and Fall Run Chinook_Upper Gorge (Columbia) Late Fall (Bright) Chinook-Little White Salmon River (Drano) Late Fall (Bright) Chinook,0.098198789,Chinook,Upper Columbia River Summer and Fall Run Chinook,Upper Gorge (Columbia) Late Fall (Bright) Chinook-Little White Salmon River (Drano) Late Fall (Bright) Chinook,late
153,Chinook_Upper Columbia River Summer and Fall Run Chinook_Upper Gorge (Columbia) Late Fall (Bright) Chinook-Wind River Late Fall (Bright) Chinook,0.155625592,Chinook,Upper Columbia River Summer and Fall Run Chinook,Upper Gorge (Columbia) Late Fall (Bright) Chinook-Wind River Late Fall (Bright) Chinook,late
154,Chinook_Upper Columbia River Summer and Fall Run Chinook_Wenatchee Summer Chinook-,-0.022145407,Chinook,Upper Columbia River Summer and Fall Run Chinook,Wenatchee Summer Chinook-,early
155,Chinook_Upper Columbia River Summer and Fall Run Chinook_Yakima River Bright Fall Chinook-,-0.036898482,Chinook,Upper Columbia River Summer and Fall Run Chinook,Yakima River Bright Fall Chinook-,late
156,Chinook_Upper Willamette River Chinook Salmon ESU_Salmon (Chinook (Upper Willamette River ESU) - Willamette Falls esc,-0.005614957,Chinook,Upper Willamette River Chinook Salmon ESU,Salmon (Chinook (Upper Willamette River ESU) - Willamette Falls esc,late
157,Chinook_Washington Coast Chinook_Bear River Fall Chinook-,-0.048466917,Chinook,Washington Coast Chinook,Bear River Fall Chinook-,late
158,Chinook_Washington Coast Chinook_Calawah Fall Chinook-,-0.003592018,Chinook,Washington Coast Chinook,Calawah Fall Chinook-,late
159,Chinook_Washington Coast Chinook_Calawah Summer Chinook-,0.014451164,Chinook,Washington Coast Chinook,Calawah Summer Chinook-,early
160,Chinook_Washington Coast Chinook_Chehalis Fall Chinook-,0.004407408,Chinook,Washington Coast Chinook,Chehalis Fall Chinook-,late
161,Chinook_Washington Coast Chinook_Chehalis Spring Chinook-,-0.039709475,Chinook,Washington Coast Chinook,Chehalis Spring Chinook-,early
162,Chinook_Washington Coast Chinook_Clearwater Fall Chinook-,-0.000266587,Chinook,Washington Coast Chinook,Clearwater Fall Chinook-,late
163,Chinook_Washington Coast Chinook_Clearwater Spring/Summer Chinook-,0.065914089,Chinook,Washington Coast Chinook,Clearwater Spring/Summer Chinook-,early
164,Chinook_Washington Coast Chinook_Cook Creek Fall Chinook-,0.012680761,Chinook,Washington Coast Chinook,Cook Creek Fall Chinook-,late
165,Chinook_Washington Coast Chinook_Dickey Fall Chinook-,0.028537921,Chinook,Washington Coast Chinook,Dickey Fall Chinook-,late
166,Chinook_Washington Coast Chinook_Hoh Fall Chinook-,-0.017991292,Chinook,Washington Coast Chinook,Hoh Fall Chinook-,late
167,Chinook_Washington Coast Chinook_Hoh Spring/Summer Chinook-,-0.01187089,Chinook,Washington Coast Chinook,Hoh Spring/Summer Chinook-,early
168,Chinook_Washington Coast Chinook_Hoko Fall Chinook-,0.01383584,Chinook,Washington Coast Chinook,Hoko Fall Chinook-,late
169,Chinook_Washington Coast Chinook_Hoquiam Fall Chinook-,-0.052260542,Chinook,Washington Coast Chinook,Hoquiam Fall Chinook-,late
170,Chinook_Washington Coast Chinook_Humptulips Fall Chinook-,0.029094652,Chinook,Washington Coast Chinook,Humptulips Fall Chinook-,late
171,Chinook_Washington Coast Chinook_Naselle Fall Chinook-,-0.023135855,Chinook,Washington Coast Chinook,Naselle Fall Chinook-,late
172,Chinook_Washington Coast Chinook_Nemah Fall Chinook-,0.110996464,Chinook,Washington Coast Chinook,Nemah Fall Chinook-,late
173,Chinook_Washington Coast Chinook_North River/Smith Creek Fall Chinook-,-0.049260509,Chinook,Washington Coast Chinook,North River/Smith Creek Fall Chinook-,late
174,Chinook_Washington Coast Chinook_Palix Fall Chinook-,0.09754948,Chinook,Washington Coast Chinook,Palix Fall Chinook-,late
175,Chinook_Washington Coast Chinook_Queets Fall Chinook-,-0.005147661,Chinook,Washington Coast Chinook,Queets Fall Chinook-,late
176,Chinook_Washington Coast Chinook_Queets Spring/Summer Chinook-,-0.006422727,Chinook,Washington Coast Chinook,Queets Spring/Summer Chinook-,early
177,Chinook_Washington Coast Chinook_Quillayute/Bogachiel Fall Chinook-,-0.013110179,Chinook,Washington Coast Chinook,Quillayute/Bogachiel Fall Chinook-,late
178,Chinook_Washington Coast Chinook_Quillayute/Bogachiel Summer Chinook-,0.006738296,Chinook,Washington Coast Chinook,Quillayute/Bogachiel Summer Chinook-,early
179,Chinook_Washington Coast Chinook_Quinault Fall Chinook-,-0.013301405,Chinook,Washington Coast Chinook,Quinault Fall Chinook-,late
180,Chinook_Washington Coast Chinook_Quinault Spring/Summer Chinook-,-0.034669154,Chinook,Washington Coast Chinook,Quinault Spring/Summer Chinook-,early
181,Chinook_Washington Coast Chinook_Satsop Fall Chinook-,0.000415546,Chinook,Washington Coast Chinook,Satsop Fall Chinook-,late
182,Chinook_Washington Coast Chinook_Satsop Summer Chinook-,-0.017202574,Chinook,Washington Coast Chinook,Satsop Summer Chinook-,early
183,Chinook_Washington Coast Chinook_Sol Duc Fall Chinook-,-0.012128177,Chinook,Washington Coast Chinook,Sol Duc Fall Chinook-,late
184,Chinook_Washington Coast Chinook_Sol Duc Summer Chinook-,-0.012609538,Chinook,Washington Coast Chinook,Sol Duc Summer Chinook-,early
185,Chinook_Washington Coast Chinook_Willapa Fall Chinook-,0.024232964,Chinook,Washington Coast Chinook,Willapa Fall Chinook-,late
186,Chinook_Washington Coast Chinook_Wishkah Fall Chinook-,-0.026664566,Chinook,Washington Coast Chinook,Wishkah Fall Chinook-,late
187,Chinook_Washington Coast Chinook_Wynoochee Fall Chinook-,-0.000881083,Chinook,Washington Coast Chinook,Wynoochee Fall Chinook-,late
