"","name","ESU","trend","Species.x","pop","Number","Species.y","DPS_short","DPS_WCR","Status","Region","Domain","abn_type","org","shape","col","pos","X","run","shape_run"
"16","Chinook_Central Valley fall-late fall-run Chinook Salmon_millcrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",5.09608362702067e-06,"Chinook","millcrk.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",1,16,"late",1
"17","Chinook_Central Valley fall-late fall-run Chinook Salmon_mokelumneriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",0.00768865429959718,"Chinook","mokelumneriv.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",1,17,"late",1
"18","Chinook_Central Valley fall-late fall-run Chinook Salmon_sacramentoriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",-0.0918767908049779,"Chinook","sacramentoriv.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",0,18,"late",1
"19","Chinook_Central Valley fall-late fall-run Chinook Salmon_sacramentoriv.chin.latefall","Central Valley fall-late fall-run Chinook Salmon",-0.105130074763549,"Chinook","sacramentoriv.chin.latefall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",0,19,"late",1
"20","Chinook_Central Valley fall-late fall-run Chinook Salmon_stanislausriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",0.00394169720859917,"Chinook","stanislausriv.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",1,20,"late",1
"21","Chinook_Central Valley fall-late fall-run Chinook Salmon_tuolumneriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",-0.110422563819175,"Chinook","tuolumneriv.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",0,21,"late",1
"22","Chinook_Central Valley fall-late fall-run Chinook Salmon_yubariv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",-0.0859101716467946,"Chinook","yubariv.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",0,22,"late",1
"23","Chinook_Central Valley Spring-Run Chinook Salmon_antelopecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",-0.0639310820902705,"Chinook","antelopecrk.chin.spr",4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","abs","T:Chinook:Central Valley Spring Run",19,"#1B9E77",0,23,"early",19
"24","Chinook_Central Valley Spring-Run Chinook Salmon_battlecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",0.0106712882126238,"Chinook","battlecrk.chin.spr",4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","abs","T:Chinook:Central Valley Spring Run",19,"#1B9E77",1,24,"early",19
"25","Chinook_Central Valley Spring-Run Chinook Salmon_bigchicocrk.chin.spr","Central Valley Spring-Run Chinook Salmon",0.0501296595915364,"Chinook","bigchicocrk.chin.spr",4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","abs","T:Chinook:Central Valley Spring Run",19,"#1B9E77",1,25,"early",19
"26","Chinook_Central Valley Spring-Run Chinook Salmon_buttecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",-0.0284238385314003,"Chinook","buttecrk.chin.spr",4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","abs","T:Chinook:Central Valley Spring Run",19,"#1B9E77",0,26,"early",19
"27","Chinook_Central Valley Spring-Run Chinook Salmon_clearcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",0.0924038897775823,"Chinook","clearcrk.chin.spr",4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","abs","T:Chinook:Central Valley Spring Run",19,"#1B9E77",1,27,"early",19
"28","Chinook_Central Valley Spring-Run Chinook Salmon_cottonwoodcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",-0.127272712019746,"Chinook","cottonwoodcrk.chin.spr",4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","abs","T:Chinook:Central Valley Spring Run",19,"#1B9E77",0,28,"early",19
"29","Chinook_Central Valley Spring-Run Chinook Salmon_deercrk.chin.spr","Central Valley Spring-Run Chinook Salmon",-0.0977720558736424,"Chinook","deercrk.chin.spr",4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","abs","T:Chinook:Central Valley Spring Run",19,"#1B9E77",0,29,"early",19
"30","Chinook_Central Valley Spring-Run Chinook Salmon_millcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",-0.0502392704232402,"Chinook","millcrk.chin.spr",4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","abs","T:Chinook:Central Valley Spring Run",19,"#1B9E77",0,30,"early",19
"31","Chinook_Central Valley Spring-Run Chinook Salmon_sacramentoriv.chin.spr","Central Valley Spring-Run Chinook Salmon",-0.150803999957064,"Chinook","sacramentoriv.chin.spr",4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","abs","T:Chinook:Central Valley Spring Run",19,"#1B9E77",0,31,"early",19
"32","Chinook_Central Valley Spring-Run Chinook Salmon_yubariv.chin.spr","Central Valley Spring-Run Chinook Salmon",0.0982265676863478,"Chinook","yubariv.chin.spr",4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","abs","T:Chinook:Central Valley Spring Run",19,"#1B9E77",1,32,"early",19
"33","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_American River Spring Chinook-","Chinook Salmon (Mid-Columbia River Spring-Run)",0.0129570857073753,"Chinook","American River Spring Chinook-",12,"Chinook","Mid-Columbia River Spring Run","Chinook Salmon (Mid-Columbia River Spring-Run)","U","PNW","IC","abs","U:Chinook:Mid-Columbia River Spring Run",1,"#1B9E77",1,33,"early",19
"34","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Klickitat Spring Chinook-","Chinook Salmon (Mid-Columbia River Spring-Run)",7.1127563184262e-05,"Chinook","Klickitat Spring Chinook-",12,"Chinook","Mid-Columbia River Spring Run","Chinook Salmon (Mid-Columbia River Spring-Run)","U","PNW","IC","abs","U:Chinook:Mid-Columbia River Spring Run",1,"#1B9E77",1,34,"early",19
"35","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Middle Fork John Day spring Chinook salmon","Chinook Salmon (Mid-Columbia River Spring-Run)",0.00991000475152286,"Chinook","Middle Fork John Day spring Chinook salmon",12,"Chinook","Mid-Columbia River Spring Run","Chinook Salmon (Mid-Columbia River Spring-Run)","U","PNW","IC","abs","U:Chinook:Mid-Columbia River Spring Run",1,"#1B9E77",1,35,"early",19
"36","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Naches Spring Chinook-","Chinook Salmon (Mid-Columbia River Spring-Run)",-0.0194447521067434,"Chinook","Naches Spring Chinook-",12,"Chinook","Mid-Columbia River Spring Run","Chinook Salmon (Mid-Columbia River Spring-Run)","U","PNW","IC","abs","U:Chinook:Mid-Columbia River Spring Run",1,"#1B9E77",0,36,"early",19
"37","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_North Fork John Day spring Chinook salmon","Chinook Salmon (Mid-Columbia River Spring-Run)",-0.00928996193733158,"Chinook","North Fork John Day spring Chinook salmon",12,"Chinook","Mid-Columbia River Spring Run","Chinook Salmon (Mid-Columbia River Spring-Run)","U","PNW","IC","abs","U:Chinook:Mid-Columbia River Spring Run",1,"#1B9E77",0,37,"early",19
"38","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Upper John Day spring Chinook salmon","Chinook Salmon (Mid-Columbia River Spring-Run)",0.0686731049774431,"Chinook","Upper John Day spring Chinook salmon",12,"Chinook","Mid-Columbia River Spring Run","Chinook Salmon (Mid-Columbia River Spring-Run)","U","PNW","IC","abs","U:Chinook:Mid-Columbia River Spring Run",1,"#1B9E77",1,38,"early",19
"39","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Upper Yakima River Spring Chinook-","Chinook Salmon (Mid-Columbia River Spring-Run)",0.0321955745739734,"Chinook","Upper Yakima River Spring Chinook-",12,"Chinook","Mid-Columbia River Spring Run","Chinook Salmon (Mid-Columbia River Spring-Run)","U","PNW","IC","abs","U:Chinook:Mid-Columbia River Spring Run",1,"#1B9E77",1,39,"early",19
"40","Chinook_Deschutes River Summer-Fall-run Chinook Salmon_Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",0.00747869575518385,"Chinook","Deschutes Fall Chinook",11,"Chinook","Deschutes River Summer-Fall Run","Chinook Salmon (Deschutes River)","U","PNW","IC","abs","U:Chinook:Deschutes River Summer-Fall Run",1,"#1B9E77",1,40,"late",1
"41","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Clatskanie River Fall-run","Lower Columbia River Chinook Salmon ESU",-0.0359780723839951,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Clatskanie River Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",0,41,"late",1
"42","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run","Lower Columbia River Chinook Salmon ESU",-0.0129003795522803,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",0,42,"late",1
"43","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Elochoman River Fall-run","Lower Columbia River Chinook Salmon ESU",-0.0730876250311692,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Elochoman River Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",0,43,"late",1
"44","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Grays River Fall-run","Lower Columbia River Chinook Salmon ESU",0.0969633063497471,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Grays River Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",1,44,"late",1
"45","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run","Lower Columbia River Chinook Salmon ESU",-0.00407573022143629,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",0,45,"late",1
"46","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Kalama River Spring-run","Lower Columbia River Chinook Salmon ESU",-0.0657836331863406,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Kalama River Spring-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",0,46,"early",19
"47","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lewis River Bright","Lower Columbia River Chinook Salmon ESU",0.0188859898638762,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Lewis River Bright",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",1,47,"late",1
"48","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lewis River Fall-run","Lower Columbia River Chinook Salmon ESU",0.027773565140446,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Lewis River Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",1,48,"late",1
"49","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run","Lower Columbia River Chinook Salmon ESU",0.0252946984735762,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",1,49,"late",1
