"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.068053753532907,0.00100430539726383,0.0873055378379925,-0.241004282400501,-0.125682801085483,-0.0680869712186677,-0.010744850681903,0.10609651522654,7557.04469730839,1.00053274329067
"mu[2]",-0.0151767616357233,0.00100008978605867,0.0858026124899068,-0.182876706271056,-0.0721979473219857,-0.0158486997883738,0.0411386835198306,0.155779263083575,7360.76646233517,1.00053666643723
"mu[3]",-0.0616710906671163,0.00101121094828813,0.0876957767608764,-0.235238984877229,-0.119605978295485,-0.0617109284919688,-0.00393612989554142,0.111304878254496,7520.96958375234,1.0005282710629
"mu[4]",-0.0310517005315674,0.0010134284831877,0.0872209936837286,-0.202068542765987,-0.0884974262263567,-0.0315337753343365,0.0264673054324863,0.142862166449153,7407.23030144872,1.00051656010073
"mu[5]",-0.0507748201834646,0.000998142079753814,0.0857795743655748,-0.218698461400063,-0.107236919599065,-0.0512245327401565,0.00506889472483405,0.119914726547826,7385.55342285352,1.00055105509236
"sigma2_R",0.108567274991842,0.00017242040911028,0.0211078117983378,0.0732175087770583,0.0936406585189827,0.106564609348303,0.121141480211668,0.15581420047264,14986.8059495986,1.00030103889698
"sigma2_Q",0.188808290829049,0.000405932146840004,0.0581444915157417,0.103915404036735,0.148084807264283,0.179489090331941,0.218637125268335,0.329124954999481,20516.8301229723,1.00020424190899
"theta",0.791052823909375,0.00126400385974566,0.094534228789138,0.573572180438259,0.734849544522569,0.803663788436425,0.860952134665626,0.937131825529191,5593.47074458168,1.00084851384793
